Feature ID	Taxon
1396|Bacillus cereus	k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus
1396|Bacillus cereus	k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus
1396|Bacillus cereus	k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus
1423|Bacillus subtilis	k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
1423|Bacillus subtilis	k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
1423|Bacillus subtilis	k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
10821|Maize streak virus (MSV)	k__Shotokuvirae;p__Cressdnaviricota;c__Repensiviricetes;o__Geplafuvirales;f__Geminiviridae;g__Mastrevirus;s__Maize streak virus (MSV)
10821|Maize streak virus (MSV)	k__Shotokuvirae;p__Cressdnaviricota;c__Repensiviricetes;o__Geplafuvirales;f__Geminiviridae;g__Mastrevirus;s__Maize streak virus (MSV)
10821|Maize streak virus (MSV)	k__Shotokuvirae;p__Cressdnaviricota;c__Repensiviricetes;o__Geplafuvirales;f__Geminiviridae;g__Mastrevirus;s__Maize streak virus (MSV)
12203|Maize dwarf mosaic virus (MDMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Maize dwarf mosaic virus (MDMV)
12203|Maize dwarf mosaic virus (MDMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Maize dwarf mosaic virus (MDMV)
12203|Maize dwarf mosaic virus (MDMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Maize dwarf mosaic virus (MDMV)
12224|Sugarcane mosaic virus (SCMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Sugarcane mosaic virus (SCMV)
12224|Sugarcane mosaic virus (SCMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Sugarcane mosaic virus (SCMV)
12224|Sugarcane mosaic virus (SCMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Sugarcane mosaic virus (SCMV)
12138|Maize chlorotic mottle virus (MCMV)	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Machlomovirus;s__Maize chlorotic mottle virus (MCMV)
12138|Maize chlorotic mottle virus (MCMV)	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Machlomovirus;s__Maize chlorotic mottle virus (MCMV)
12138|Maize chlorotic mottle virus (MCMV)	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Machlomovirus;s__Maize chlorotic mottle virus (MCMV)
279896|Maize mosaic virus (MMV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Alphanucleorhabdovirus;s__Maize mosaic virus (MMV)
279896|Maize mosaic virus (MMV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Alphanucleorhabdovirus;s__Maize mosaic virus (MMV)
279896|Maize mosaic virus (MMV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Alphanucleorhabdovirus;s__Maize mosaic virus (MMV)
209854|Maize fine streak virus (MFSV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Gammanucleorhabdovirus;s__Maize fine streak virus (MFSV)
209854|Maize fine streak virus (MFSV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Gammanucleorhabdovirus;s__Maize fine streak virus (MFSV)
10989|Maize rough dwarf virus (MRDV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Maize rough dwarf virus (MRDV)
10989|Maize rough dwarf virus (MRDV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Maize rough dwarf virus (MRDV)
10989|Maize rough dwarf virus (MRDV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Maize rough dwarf virus (MRDV)
59749|Maize rayado fino virus (MRFV)	k__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Maize rayado fino virus (MRFV)
59749|Maize rayado fino virus (MRFV)	k__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Maize rayado fino virus (MRFV)
59749|Maize rayado fino virus (MRFV)	k__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Maize rayado fino virus (MRFV)
51354|Maize chlorotic dwarf virus (MCDV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__Secoviridae;g__Waikavirus;s__Maize chlorotic dwarf virus (MCDV)
51354|Maize chlorotic dwarf virus (MCDV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__Secoviridae;g__Waikavirus;s__Maize chlorotic dwarf virus (MCDV)
51354|Maize chlorotic dwarf virus (MCDV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__Secoviridae;g__Waikavirus;s__Maize chlorotic dwarf virus (MCDV)
31741|Wheat streak mosaic virus (WSMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Tritimovirus;s__Wheat streak mosaic virus (WSMV)
31741|Wheat streak mosaic virus (WSMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Tritimovirus;s__Wheat streak mosaic virus (WSMV)
31741|Wheat streak mosaic virus (WSMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Tritimovirus;s__Wheat streak mosaic virus (WSMV)
10990|Rice black streaked dwarf virus (RBSDV) _	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Rice black streaked dwarf virus (RBSDV) ★
10990|Rice black streaked dwarf virus (RBSDV) _	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Rice black streaked dwarf virus (RBSDV) ★
10990|Rice black streaked dwarf virus (RBSDV) _	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Rice black streaked dwarf virus (RBSDV) ★
3052767|Maize stripe virus (MSpV)	k__Orthornavirae;p__Negarnaviricota;c__Bunyaviricetes;o__Hareavirales;f__Phenuiviridae;g__Tenuivirus;s__Maize stripe virus (MSpV)
3052767|Maize stripe virus (MSpV)	k__Orthornavirae;p__Negarnaviricota;c__Bunyaviricetes;o__Hareavirales;f__Phenuiviridae;g__Tenuivirus;s__Maize stripe virus (MSpV)
3052767|Maize stripe virus (MSpV)	k__Orthornavirae;p__Negarnaviricota;c__Bunyaviricetes;o__Hareavirales;f__Phenuiviridae;g__Tenuivirus;s__Maize stripe virus (MSpV)
1980428|High Plains wheat mosaic virus (HPWMoV)	k__Orthornavirae;p__Negarnaviricota;c__Bunyaviricetes;o__Elliovirales;f__Fimoviridae;g__Emaravirus;s__High Plains wheat mosaic virus (HPWMoV)
1980428|High Plains wheat mosaic virus (HPWMoV)	k__Orthornavirae;p__Negarnaviricota;c__Bunyaviricetes;o__Elliovirales;f__Fimoviridae;g__Emaravirus;s__High Plains wheat mosaic virus (HPWMoV)
1980428|High Plains wheat mosaic virus (HPWMoV)	k__Orthornavirae;p__Negarnaviricota;c__Bunyaviricetes;o__Elliovirales;f__Fimoviridae;g__Emaravirus;s__High Plains wheat mosaic virus (HPWMoV)
31742|Johnsongrass mosaic virus (JGMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Johnsongrass mosaic virus (JGMV)
31742|Johnsongrass mosaic virus (JGMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Johnsongrass mosaic virus (JGMV)
31742|Johnsongrass mosaic virus (JGMV)	k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__Potyvirus;s__Johnsongrass mosaic virus (JGMV)
519497|Southern rice black streaked dwarf virus (SRBSDV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Southern rice black streaked dwarf virus (SRBSDV)
519497|Southern rice black streaked dwarf virus (SRBSDV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Southern rice black streaked dwarf virus (SRBSDV)
519497|Southern rice black streaked dwarf virus (SRBSDV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Southern rice black streaked dwarf virus (SRBSDV)
185954|Mal de Rio Cuarto virus (MRCV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Mal de Rio Cuarto virus (MRCV)
185954|Mal de Rio Cuarto virus (MRCV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Mal de Rio Cuarto virus (MRCV)
185954|Mal de Rio Cuarto virus (MRCV)	k__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Fijivirus;s__Mal de Rio Cuarto virus (MRCV)
2170101|Maize yellow dwarf virus-RMV (MYDV-RMV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__Polerovirus;s__Maize yellow dwarf virus-RMV (MYDV-RMV)
2170101|Maize yellow dwarf virus-RMV (MYDV-RMV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__Polerovirus;s__Maize yellow dwarf virus-RMV (MYDV-RMV)
2170101|Maize yellow dwarf virus-RMV (MYDV-RMV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__Polerovirus;s__Maize yellow dwarf virus-RMV (MYDV-RMV)
2169984|Barley yellow dwarf virus-MAV (BYDV-MAV)  /  Maize leaf fleck virus	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Luteovirus;s__Barley yellow dwarf virus-MAV (BYDV-MAV) / Maize leaf fleck virus
2169984|Barley yellow dwarf virus-MAV (BYDV-MAV)  /  Maize leaf fleck virus	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Luteovirus;s__Barley yellow dwarf virus-MAV (BYDV-MAV) / Maize leaf fleck virus
2169984|Barley yellow dwarf virus-MAV (BYDV-MAV)  /  Maize leaf fleck virus	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Luteovirus;s__Barley yellow dwarf virus-MAV (BYDV-MAV) / Maize leaf fleck virus
1856642|Maize yellow mosaic virus (MaYMV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__Polerovirus;s__Maize yellow mosaic virus (MaYMV)
1856642|Maize yellow mosaic virus (MaYMV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__Polerovirus;s__Maize yellow mosaic virus (MaYMV)
1856642|Maize yellow mosaic virus (MaYMV)	k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__Polerovirus;s__Maize yellow mosaic virus (MaYMV)
137556|Maize necrotic streak virus (MNeSV)	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Zeavirus;s__Maize necrotic streak virus (MNeSV)
137556|Maize necrotic streak virus (MNeSV)	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Zeavirus;s__Maize necrotic streak virus (MNeSV)
445227|Maize white line mosaic virus (MWLMV)	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Aureusvirus;s__Maize white line mosaic virus (MWLMV)
445227|Maize white line mosaic virus (MWLMV)	k__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Aureusvirus;s__Maize white line mosaic virus (MWLMV)
348823|Maize Iranian mosaic virus (MIMV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Alphanucleorhabdovirus;s__Maize Iranian mosaic virus (MIMV)
348823|Maize Iranian mosaic virus (MIMV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Alphanucleorhabdovirus;s__Maize Iranian mosaic virus (MIMV)
348823|Maize Iranian mosaic virus (MIMV)	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Alphanucleorhabdovirus;s__Maize Iranian mosaic virus (MIMV)
2545470|Maize sterile stunt virus (MSSV)/Barley yellow striate mosaic virus	k__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Betacytorhabdovirus;s__Maize sterile stunt virus (MSSV)/Barley yellow striate mosaic virus
