category	species
Fungi	Stenocarpella macrospora
Fungi	Nigrospora oryzae/Khuskia oryzae/Apiospora oryzae
Fungi	Magnaporthiopsis  maydis/Harpophora maydis /Cephalosporium maydis
Fungi	Sarocladium strictum (Acremonium strictum)
Fungi	Claviceps gigantea
Fungi	Pyricularia oryzae/Magnaporthe oryzae
Fungi	Exserohilum turcicum (Setosphaeria turcica)
Fungi	Bipolaris maydis (Cochliobolus heterostrophus)
Fungi	Bipolaris zeicola (Cochliobolus carbonum)
Fungi	Cercospora zeae-maydis
Fungi	Macrophomina phaseolina
Fungi	Didymella maydis (Phyllosticta maydis)
Fungi	Aspergillus flavus
Fungi	Aspergillus niger
Fungi	Penicillium oxalicum
Fungi	Mycosarcoma maydis/Ustilago maydis
Fungi	Sporisorium reilianum/Sphacelotheca reiliana
Fungi	Puccinia sorghi
Fungi	Puccinia polysora
Fungi	Rhizoctonia solani (Thanatephorus cucumeris)
Fungi	Agroathelia rolfsii/Sclerotium rolfsii( Athelia rolfsii)
Fungi	Kabatiella zeae/Aureobasidium zeae
Fungi	Physoderma maydis
Fungi	Cladosporium herbarum
Fungi	Graphium penicillioides
Fungi	Phyllachora maydis
Oomycetes	Pythium aphanidermatum
Oomycetes	Pythium graminicola
Oomycetes	Pythium arrhenomanes
Oomycetes	Peronosclerospora sorghi
Oomycetes	Peronosclerospora maydis
Oomycetes	Sclerophthora macrospora
Oomycetes	Sclerospora graminicola
Fungi	Fusarium equiseti
Fungi	Fusarium sporotrichioides
Fungi	Fusarium poae
Fungi	Fusarium culmorum
Fungi	Fusarium avenaceum
Fungi	Fusarium acuminatum
Fungi	Curvularia lunata (Cochliobolus lunatus)
Fungi	Bipolaris sorokiniana (Cochliobolus sativus)
Fungi	Exserohilum rostratum (Setosphaeria rostrata) /Exserohilum prolatum / Setosphaeria prolata
Fungi	Alternaria alternata
Fungi	Trichoderma roseum /Trichothecium roseum
Fungi	Rhizopus stolonifer
Fungi	Epicoccum nigrum
Fungi	Sarocladium zeae/Acremonium zeae
Fungi	Curvularia geniculata(Cochliobolus geniculatus)
Fungi	Mucor circinelloides
Fungi	Neocosmospora solani/Fusarium solani
Fungi	Fusarium andiyazi
Fungi	Fusarium asiaticum
Fungi	Fusarium pseudograminearum
Fungi	Fusarium meridionale
Fungi	Epicoccum sorghinum/Phoma sorghina
Fungi	Botrytis cinerea
Oomycetes	Pythium ultimum
Oomycetes	Pythium acanthicum
Oomycetes	Pythium adhaerens
Oomycetes	Globisporangium irregulare/Pythium irregulare
Oomycetes	Globisporangium rostratum/Pythium rostratum
Fungi	Fusarium oxysporum
Oomycetes	Pythium inflatum
Fungi	Setophoma terrestris/Phoma terrestris/Pyrenochaeta terrestris
Fungi	Rhizopus arrhizus
Fungi	Waitea zeae/Rhizoctonia zeae
Fungi	Rhizoctonia cerealis/Ceratobasidium cereale
Oomycetes	Peronosclerospora philippinensis
Fungi	Cercospora zeina
Fungi	Cercospora sorghi var. maydis
Fungi	Trichoderma viride
Fungi	Trichoderma harzianum
Fungi	Trichoderma afroharzianum
Fungi	Penicillium chrysogenum
Fungi	Cladosporium cladosporioides
Fungi	Eutiarosporella dactylidis
Fungi	Alternaria tenuissima
Fungi	Alternaria burnsii
Fungi	Gaeumannomyces graminis
Oomycetes	Globisporangium debaryanum/Pythium debaryanum
Oomycetes	Globisporangium paroecandrum/Pythium paroecandrum
Oomycetes	Globisporangium spinosum /Pythium spinosum
Oomycetes	Globisporangium splendens/Pythium splendens
Oomycetes	Globisporangium schmitthenneri/Pythium schmitthenneri
Fungi	Helminthosporium pedicellatum/Exserohilum pedicellatum
Fungi	Fusarium tricinctum
Fungi	Gaeumannomyces radicicola/Phialophora radicicola
Oomycetes	Globisporangium pulchrum/Pythium pulchrum
Oomycetes	Globisporangium sylvaticum/Pythium sylvaticum
Fungi	Microdochium bolleyi
Oomycetes	Phytopythium helicoides/Pythium helicoides
Oomycetes	Pythium lutarium
Oomycetes	Pythium torulosum
Fungi	Trichoderma hamatum
Fungi	Trichoderma koningii
Fungi	Ascochyta zeae
Fungi	Curvularia aeria/Curvularia lunata var. aeria
Fungi	Curvularia australiensis
Fungi	Curvularia clavata
Fungi	Curvularia eragrostidis
Fungi	Curvularia inaequalis / Helminthosporium inaequale
Fungi	Curvularia intermedia(Cochliobolus intermedius)
Fungi	Curvularia pallescens
Fungi	Curvularia senegalensis / Brachysporium senegalense
Fungi	Curvularia tuberculata (Cochliobolus tuberculatus)
Fungi	Curvularia spicifera/Bipolaris spicifera/Helminthosporium tetramera
Fungi	Orphanocoela maydis/ Hyalothyridium maydis
Fungi	Leptosphaerulina australis
Fungi	Phakopsora pallescens/ Physopella pallescens
Fungi	Phakopsora zeae/Physopella zeae
Fungi	Microdochium sorghi /Gloeocercospora sorghi
Oomycetes	Sclerophthora rayssiae / Sclerophthora rayssiae var. zeae
Oomycetes	Peronosclerospora miscanthi
Oomycetes	Peronosclerospora heteropogonis
Oomycetes	Peronosclerospora spontanea
Oomycetes	Peronosclerospora sacchari
Fungi	Aspergillus glaucus
Fungi	Aspergillus parasiticus
Fungi	Lasiodiplodia theobromae / Botryodiplodia tubericola
Fungi	Ustilaginoidea virens
Fungi	Fusarium camptoceras
Fungi	Fusarium chlamydosporum
Fungi	Fusarium concentricum
Fungi	Fusarium kyushuense
Fungi	Fusarium sacchari
Fungi	Fusarium boothii
Fungi	Fusarium cerealis/Fusarium crookwellense
Fungi	Botryosphaeria zeae
Fungi	Penicillium aurantiogriseum/Penicillium cyclopium/Penicillium viridicatum
Fungi	Talaromyces funiculosus/Penicillium funiculosum
Fungi	Trichoderma asperellum
Fungi	Marasmiellus inoderma
Fungi	Marasmius graminum/Marasmius graminum var. brevispora
Fungi	Marasmius sacchar/Marasmius sacchari var. hawaiiensis
Fungi	Phaeocytostroma ambiguum
Oomycetes	Pythium aristosporum
Fungi	Talaromyces radicus
Fungi	Microdochium seminicola
Fungi	Xepiculopsis graminea/Myrothecium gramineum
Fungi	Penicillium verrucosum
Fungi	Fusarium globosum
Fungi	Fusarium napiforme
Fungi	Fusarium pseudonygamai
Fungi	Leptosphaeria variiseptata / Phaeosphaeria variiseptata
Fungi	Septoria maydis
Fungi	Septoria zeina
Fungi	Neoascochyta exitialis/ Didymella exitialis
Fungi	Ophiosphaerella herpotricha/Phaeosphaeria herpotricha
Fungi	Paraphaeosphaeria michotii / Sphaeria michotii
Fungi	Leptosphaeria multiseptata / Entodesmium multiseptatum
Fungi	Helminthosporium hawaiiensis / Curvularia hawaiiensis
Fungi	Ceratocystis paradoxa/Thielaviopsis paradoxa
Fungi	Ascochyta maydis
Oomycetes	Pythium vexans/Phytopythium vexans
Oomycetes	Pythium angustatum
Fungi	Melanospora simplex/Gonatobotrys simplex
Fungi	Aspergillus tamarii
Fungi	Phaeosphaeria maydis
Fungi	Microdochium maydis/Monographella maydis
