seqid	category	marker	length	gc_pct
MPDB000179	Bacteria	16S rRNA	560	55.71
MPDB000180	Bacteria	16S rRNA	650	55.38
MPDB000181	Bacteria	16S rRNA	898	54.9
MPDB000182	Bacteria	16S rRNA	1482	55.2
MPDB000183	Bacteria	16S rRNA	1494	55.15
MPDB000184	Bacteria	16S rRNA	1494	55.22
MPDB000185	Bacteria	16S rRNA	1488	55.24
MPDB000186	Bacteria	16S rRNA	1494	55.15
MPDB000187	Bacteria	16S rRNA	1404	54.84
MPDB000188	Bacteria	16S rRNA	499	52.1
MPDB000189	Bacteria	16S rRNA	315	50.79
MPDB000190	Bacteria	16S rRNA	1413	54.78
MPDB000191	Bacteria	16S rRNA	1406	54.77
MPDB000192	Bacteria	16S rRNA	1503	54.09
MPDB000193	Bacteria	16S rRNA	1503	53.96
MPDB000194	Bacteria	16S rRNA	175	56.0
MPDB000195	Bacteria	16S rRNA	1498	54.14
MPDB000196	Bacteria	16S rRNA	780	53.21
MPDB000197	Bacteria	16S rRNA	1491	53.86
MPDB000198	Bacteria	16S rRNA	889	55.34
MPDB000199	Bacteria	16S rRNA	846	56.38
MPDB000200	Bacteria	16S rRNA	877	55.99
MPDB000201	Bacteria	16S rRNA	959	55.68
MPDB000202	Bacteria	16S rRNA	920	56.09
MPDB000203	Bacteria	16S rRNA	953	55.93
MPDB000204	Bacteria	16S rRNA	887	55.58
MPDB000205	Bacteria	16S rRNA	239	54.39
MPDB000206	Bacteria	16S rRNA	900	55.33
MPDB000207	Bacteria	16S rRNA	698	53.87
MPDB000208	Bacteria	16S rRNA	743	54.37
MPDB000209	Bacteria	16S rRNA	620	54.03
MPDB000210	Bacteria	16S rRNA	655	55.57
MPDB000211	Bacteria	16S rRNA	1008	54.66
MPDB000212	Bacteria	16S rRNA	1420	55.85
MPDB000213	Bacteria	16S rRNA	954	55.03
MPDB000214	Bacteria	16S rRNA	901	55.16
MPDB000215	Bacteria	16S rRNA	946	55.81
MPDB000216	Bacteria	16S rRNA	949	54.9
MPDB000217	Bacteria	16S rRNA	1033	54.7
MPDB000218	Bacteria	16S rRNA	971	54.89
MPDB000219	Bacteria	16S rRNA	996	54.82
MPDB000220	Bacteria	16S rRNA	988	54.86
MPDB000221	Bacteria	16S rRNA	967	54.91
MPDB000222	Bacteria	16S rRNA	1035	54.78
MPDB000223	Bacteria	16S rRNA	972	54.84
MPDB000224	Bacteria	16S rRNA	1034	54.64
MPDB000225	Bacteria	16S rRNA	972	54.94
MPDB000226	Bacteria	16S rRNA	972	54.73
MPDB000227	Bacteria	16S rRNA	1042	54.61
MPDB000228	Bacteria	16S rRNA	1694	52.72
MPDB000229	Bacteria	16S rRNA	1402	55.21
MPDB000230	Bacteria	16S rRNA	773	56.27
MPDB000231	Bacteria	16S rRNA	1043	55.9
MPDB000232	Bacteria	16S rRNA	1376	55.89
MPDB000233	Bacteria	16S rRNA	1531	55.78
MPDB000234	Bacteria	16S rRNA	775	53.42
MPDB000235	Bacteria	16S rRNA	1092	54.12
MPDB000236	Bacteria	16S rRNA	725	56.28
MPDB000237	Bacteria	16S rRNA	1559	55.48
MPDB000238	Bacteria	16S rRNA	549	55.56
MPDB000239	Bacteria	16S rRNA	923	54.71
MPDB000240	Bacteria	16S rRNA	120	52.5
MPDB000241	Bacteria	16S rRNA	1533	55.19
MPDB000242	Bacteria	16S rRNA	1472	55.23
MPDB000243	Bacteria	16S rRNA	1423	55.38
MPDB000244	Bacteria	16S rRNA	469	56.5
MPDB000245	Bacteria	16S rRNA	469	56.29
MPDB000246	Bacteria	16S rRNA	469	56.29
MPDB000247	Bacteria	16S rRNA	734	54.63
MPDB000248	Bacteria	16S rRNA	732	53.96
MPDB000249	Bacteria	16S rRNA	1418	55.64
MPDB000250	Bacteria	16S rRNA	716	56.56
MPDB000251	Bacteria	16S rRNA	1472	55.43
MPDB000252	Bacteria	16S rRNA	732	56.69
MPDB000253	Bacteria	16S rRNA	1464	55.05
MPDB000254	Bacteria	16S rRNA	1408	55.82
MPDB000255	Bacteria	16S rRNA	751	56.32
MPDB000256	Bacteria	16S rRNA	970	55.67
MPDB000257	Bacteria	16S rRNA	970	55.46
MPDB000258	Bacteria	16S rRNA	904	56.53
MPDB000259	Bacteria	16S rRNA	1433	55.69
MPDB000260	Bacteria	16S rRNA	1467	54.06
MPDB000261	Bacteria	16S rRNA	1467	54.12
MPDB000262	Bacteria	16S rRNA	1467	54.19
MPDB000263	Bacteria	16S rRNA	1467	54.4
MPDB000264	Bacteria	16S rRNA	1467	53.78
MPDB000265	Bacteria	16S rRNA	1363	54.51
MPDB000266	Bacteria	16S rRNA	1497	54.04
MPDB000267	Bacteria	16S rRNA	535	51.78
MPDB000268	Bacteria	16S rRNA	536	51.87
MPDB000269	Bacteria	16S rRNA	1025	53.17
MPDB000270	Bacteria	16S rRNA	1025	54.24
MPDB000271	Bacteria	16S rRNA	1025	54.05
MPDB000272	Bacteria	16S rRNA	1025	54.34
MPDB000273	Bacteria	16S rRNA	964	54.36
MPDB000274	Bacteria	16S rRNA	1025	53.95
MPDB000275	Bacteria	16S rRNA	1025	54.34
MPDB000276	Bacteria	16S rRNA	1025	53.76
MPDB000277	Bacteria	16S rRNA	1025	54.73
MPDB000278	Bacteria	16S rRNA	1075	53.77
MPDB000279	Bacteria	16S rRNA	780	55.0
MPDB000280	Bacteria	16S rRNA	1034	53.48
MPDB000281	Bacteria	16S rRNA	1499	52.1
MPDB000282	Bacteria	16S rRNA	1263	52.1
MPDB000283	Bacteria	16S rRNA	1428	54.2
MPDB000284	Bacteria	16S rRNA	1200	55.0
MPDB000285	Bacteria	16S rRNA	589	53.99
MPDB000286	Bacteria	16S rRNA	929	49.73
MPDB000287	Bacteria	16S rRNA	882	52.38
MPDB000288	Bacteria	16S rRNA	885	53.56
MPDB000289	Bacteria	16S rRNA	1169	50.04
MPDB000290	Bacteria	16S rRNA	1107	53.93
MPDB000291	Bacteria	16S rRNA	1289	52.83
MPDB000292	Bacteria	16S rRNA	1029	52.38
MPDB000293	Bacteria	16S rRNA	1519	54.71
MPDB000294	Bacteria	16S rRNA	749	55.41
MPDB000295	Bacteria	16S rRNA	1370	55.33
MPDB000296	Bacteria	16S rRNA	1402	54.85
MPDB000297	Bacteria	16S rRNA	1388	54.61
MPDB000298	Bacteria	16S rRNA	1433	54.92
MPDB000299	Bacteria	16S rRNA	976	53.79
MPDB000300	Bacteria	16S rRNA	1462	54.79
MPDB000301	Bacteria	16S rRNA	1125	55.64
MPDB000302	Bacteria	16S rRNA	1127	55.63
MPDB000303	Bacteria	16S rRNA	1125	55.73
MPDB000304	Bacteria	16S rRNA	1127	55.72
MPDB000305	Bacteria	16S rRNA	1119	54.96
MPDB000306	Bacteria	16S rRNA	1121	55.58
MPDB000307	Bacteria	16S rRNA	1125	55.38
MPDB000308	Bacteria	16S rRNA	1124	55.07
MPDB000309	Bacteria	16S rRNA	1123	55.3
MPDB000310	Bacteria	16S rRNA	1124	55.69
MPDB000311	Bacteria	16S rRNA	1124	55.52
MPDB000312	Bacteria	16S rRNA	699	56.22
MPDB000313	Bacteria	16S rRNA	699	56.22
MPDB000314	Bacteria	16S rRNA	678	55.6
MPDB000315	Bacteria	16S rRNA	677	55.54
MPDB000316	Bacteria	16S rRNA	1196	54.85
MPDB000317	Bacteria	16S rRNA	949	55.32
MPDB000318	Bacteria	16S rRNA	1224	54.98
MPDB000319	Bacteria	16S rRNA	779	55.2
MPDB000320	Bacteria	16S rRNA	1269	54.85
MPDB000321	Bacteria	16S rRNA	1269	54.77
MPDB000322	Bacteria	16S rRNA	1269	54.77
MPDB000323	Bacteria	16S rRNA	680	56.47
MPDB000324	Bacteria	16S rRNA	1531	54.67
MPDB000325	Bacteria	16S rRNA	1430	55.24
MPDB000326	Bacteria	16S rRNA	1217	54.81
MPDB000327	Bacteria	16S rRNA	1211	54.75
MPDB000328	Bacteria	16S rRNA	762	30.45
MPDB000329	Bacteria	16S rRNA	974	32.65
MPDB000330	Bacteria	16S rRNA	980	67.35
MPDB000331	Bacteria	16S rRNA	262	31.3
MPDB000332	Bacteria	16S rRNA	265	70.94
MPDB000333	Bacteria	16S rRNA	3315	63.2
MPDB000334	Bacteria	16S rRNA	1014	54.14
MPDB000335	Bacteria	16S rRNA	1389	54.5
MPDB000336	Bacteria	16S rRNA	1388	55.04
MPDB000337	Bacteria	16S rRNA	4042	46.14
MPDB000338	Bacteria	16S rRNA	1464	54.3
MPDB000339	Bacteria	16S rRNA	1467	54.33
MPDB000340	Bacteria	16S rRNA	7741	44.85
MPDB000341	Bacteria	16S rRNA	1031	53.44
MPDB000342	Bacteria	16S rRNA	765	52.42
MPDB000343	Bacteria	16S rRNA	1000	42.9
MPDB000344	Bacteria	16S rRNA	1020	53.92
MPDB000345	Bacteria	16S rRNA	1080	60.37
MPDB000346	Bacteria	16S rRNA	676	52.96
MPDB000347	Bacteria	16S rRNA	1464	54.64
MPDB000348	Bacteria	16S rRNA	1464	54.58
MPDB000349	Bacteria	16S rRNA	1464	54.58
MPDB000350	Bacteria	16S rRNA	1464	54.44
MPDB000351	Bacteria	16S rRNA	1464	54.37
MPDB000352	Bacteria	16S rRNA	1464	54.37
MPDB000353	Bacteria	16S rRNA	1471	54.38
MPDB000354	Bacteria	16S rRNA	1115	55.25
MPDB000355	Bacteria	16S rRNA	1464	54.37
MPDB000356	Bacteria	16S rRNA	1464	54.3
MPDB000357	Bacteria	16S rRNA	1387	54.72
MPDB000358	Bacteria	16S rRNA	1411	54.78
MPDB000359	Bacteria	16S rRNA	437	55.15
MPDB000360	Bacteria	16S rRNA	1269	54.37
MPDB000361	Bacteria	16S rRNA	1269	54.14
MPDB000362	Bacteria	16S rRNA	1068	55.06
MPDB000363	Bacteria	16S rRNA	166	53.61
MPDB000364	Bacteria	16S rRNA	565	56.46
MPDB000365	Bacteria	16S rRNA	988	51.72
MPDB000366	Bacteria	16S rRNA	731	55.81
MPDB000367	Bacteria	16S rRNA	1368	54.24
MPDB000368	Bacteria	16S rRNA	1165	54.08
MPDB000369	Bacteria	16S rRNA	1156	54.24
MPDB000370	Bacteria	16S rRNA	1209	54.18
MPDB000371	Bacteria	16S rRNA	1229	54.52
MPDB000372	Bacteria	16S rRNA	1453	54.09
MPDB000373	Bacteria	16S rRNA	759	56.26
MPDB000374	Bacteria	16S rRNA	878	54.56
MPDB000375	Bacteria	16S rRNA	759	56.26
MPDB000376	Bacteria	16S rRNA	758	56.2
MPDB000377	Bacteria	16S rRNA	956	53.14
MPDB000378	Bacteria	16S rRNA	1065	53.15
MPDB000379	Bacteria	16S rRNA	425	52.0
MPDB000380	Bacteria	16S rRNA	2024	54.79
MPDB000381	Bacteria	16S rRNA	1119	56.03
MPDB000382	Bacteria	16S rRNA	683	56.52
MPDB000383	Bacteria	16S rRNA	700	54.0
MPDB000384	Bacteria	16S rRNA	1358	55.82
MPDB000385	Bacteria	16S rRNA	1417	55.61
MPDB000386	Bacteria	16S rRNA	1423	55.38
MPDB000387	Bacteria	16S rRNA	1408	55.54
MPDB000388	Bacteria	16S rRNA	1356	55.83
MPDB000389	Bacteria	16S rRNA	1391	55.64
MPDB000390	Bacteria	16S rRNA	1404	55.84
MPDB000391	Bacteria	16S rRNA	1383	55.39
MPDB000392	Bacteria	16S rRNA	615	52.85
MPDB000393	Bacteria	16S rRNA	868	54.38
MPDB000394	Bacteria	16S rRNA	600	54.17
MPDB000395	Bacteria	16S rRNA	120	55.0
MPDB000396	Bacteria	16S rRNA	1499	54.04
MPDB000397	Bacteria	16S rRNA	420	55.48
MPDB000398	Bacteria	16S rRNA	1330	54.89
MPDB000399	Bacteria	16S rRNA	1332	54.88
MPDB000400	Bacteria	16S rRNA	1445	54.05
MPDB000401	Bacteria	16S rRNA	665	55.04
MPDB000402	Bacteria	16S rRNA	437	56.06
MPDB000403	Bacteria	16S rRNA	1394	54.81
MPDB000404	Viruses	genome	2701	49.24
MPDB000405	Viruses	genome	2690	48.51
MPDB000406	Viruses	genome	2689	49.54
MPDB000407	Viruses	genome	2685	48.27
MPDB000408	Viruses	genome	2673	48.22
MPDB000409	Viruses	genome	2684	49.07
MPDB000410	Viruses	genome	2685	48.49
MPDB000411	Viruses	genome	2685	49.09
MPDB000412	Viruses	genome	2683	48.23
MPDB000413	Viruses	genome	2684	48.21
MPDB000414	Viruses	genome	2685	48.94
MPDB000415	Viruses	genome	2684	48.47
MPDB000416	Viruses	genome	2685	49.01
MPDB000417	Viruses	genome	2684	48.17
MPDB000418	Viruses	genome	2684	48.66
MPDB000419	Viruses	genome	2684	48.1
MPDB000420	Viruses	genome	2684	48.25
MPDB000421	Viruses	genome	2685	49.05
MPDB000422	Viruses	genome	2685	48.38
MPDB000423	Viruses	genome	2685	48.98
MPDB000424	Viruses	genome	2686	48.96
MPDB000425	Viruses	genome	2684	48.81
MPDB000426	Viruses	genome	2684	48.62
MPDB000427	Viruses	genome	2685	48.53
MPDB000428	Viruses	genome	2685	48.64
MPDB000429	Viruses	genome	2684	48.51
MPDB000430	Viruses	genome	2684	48.29
MPDB000431	Viruses	genome	2685	48.9
MPDB000432	Viruses	genome	2686	48.25
MPDB000433	Viruses	genome	2682	47.95
MPDB000434	Viruses	genome	2684	49.03
MPDB000435	Viruses	genome	2684	48.29
MPDB000436	Viruses	genome	2685	48.94
MPDB000437	Viruses	genome	2684	48.21
MPDB000438	Viruses	genome	2687	49.57
MPDB000439	Viruses	genome	2687	49.5
MPDB000440	Viruses	genome	2686	49.59
MPDB000441	Viruses	genome	2687	49.5
MPDB000442	Viruses	genome	2687	49.53
MPDB000443	Viruses	genome	2687	49.5
MPDB000444	Viruses	genome	2687	49.53
MPDB000445	Viruses	genome	2688	48.18
MPDB000446	Viruses	genome	2688	48.03
MPDB000447	Viruses	genome	1936	34.66
MPDB000448	Viruses	genome	1900	34.47
MPDB000449	Viruses	genome	1802	36.13
MPDB000450	Viruses	genome	1929	34.99
MPDB000451	Viruses	genome	1920	33.85
MPDB000452	Viruses	genome	1801	36.42
MPDB000453	Viruses	genome	2882	51.8
MPDB000454	Viruses	genome	2879	52.45
MPDB000455	Viruses	genome	2879	52.41
MPDB000456	Viruses	genome	2882	51.77
MPDB000457	Viruses	genome	2880	51.74
MPDB000458	Viruses	genome	2879	52.1
MPDB000459	Viruses	genome	2879	52.0
MPDB000460	Viruses	genome	2880	52.5
MPDB000461	Viruses	genome	2882	52.46
MPDB000462	Viruses	genome	2879	52.76
MPDB000463	Viruses	genome	2879	52.76
MPDB000464	Viruses	genome	2879	52.76
MPDB000465	Viruses	genome	4436	50.47
MPDB000466	Viruses	genome	4436	50.43
MPDB000467	Viruses	genome	4436	50.43
MPDB000468	Viruses	genome	4437	50.39
MPDB000469	Viruses	genome	4436	50.34
MPDB000470	Viruses	genome	4388	50.25
MPDB000471	Viruses	genome	4436	50.18
MPDB000472	Viruses	genome	4437	50.26
MPDB000473	Viruses	genome	4425	50.37
MPDB000474	Viruses	genome	4436	50.32
MPDB000475	Viruses	genome	4436	50.41
MPDB000476	Viruses	genome	4436	50.41
MPDB000477	Viruses	genome	4435	50.35
MPDB000478	Viruses	genome	4436	50.47
MPDB000479	Viruses	genome	4436	50.54
MPDB000480	Viruses	genome	4436	50.43
MPDB000481	Viruses	genome	4426	50.29
MPDB000482	Viruses	genome	4404	50.25
MPDB000483	Viruses	genome	4436	50.47
MPDB000484	Viruses	genome	4436	50.45
MPDB000485	Viruses	genome	4436	50.43
MPDB000486	Viruses	genome	4436	50.43
MPDB000487	Viruses	genome	4435	50.42
MPDB000488	Viruses	genome	4436	50.41
MPDB000489	Viruses	genome	4428	50.43
MPDB000490	Viruses	genome	4436	50.5
MPDB000491	Viruses	genome	4426	50.25
MPDB000492	Viruses	genome	4401	50.22
MPDB000493	Viruses	genome	4430	50.47
MPDB000494	Viruses	genome	4450	50.31
MPDB000495	Viruses	genome	4427	50.42
MPDB000496	Viruses	genome	4423	50.33
MPDB000497	Viruses	genome	4436	50.41
MPDB000498	Viruses	genome	4397	50.26
MPDB000499	Viruses	genome	4394	50.09
MPDB000500	Viruses	genome	4395	50.22
MPDB000501	Viruses	genome	4377	50.22
MPDB000502	Viruses	genome	4390	50.07
MPDB000503	Viruses	genome	4391	50.15
MPDB000504	Viruses	genome	4393	50.24
MPDB000505	Viruses	genome	4393	50.24
MPDB000506	Viruses	genome	4393	50.22
MPDB000507	Viruses	genome	4436	50.29
MPDB000508	Viruses	genome	9499	40.64
MPDB000509	Viruses	genome	9458	40.19
MPDB000510	Viruses	genome	9402	39.48
MPDB000511	Viruses	genome	9526	40.42
MPDB000512	Viruses	genome	9563	41.18
MPDB000513	Viruses	genome	9538	40.45
MPDB000514	Viruses	genome	9225	40.67
MPDB000515	Viruses	genome	9497	40.53
MPDB000516	Viruses	genome	9450	40.71
MPDB000517	Viruses	genome	9491	40.55
MPDB000518	Viruses	genome	9394	40.52
MPDB000519	Viruses	genome	9415	40.57
MPDB000520	Viruses	genome	9413	40.37
MPDB000521	Viruses	genome	9204	40.42
MPDB000522	Viruses	genome	9444	40.66
MPDB000523	Viruses	genome	9430	40.72
MPDB000524	Viruses	genome	9461	40.41
MPDB000525	Viruses	genome	9454	40.45
MPDB000526	Viruses	genome	9391	40.37
MPDB000527	Viruses	genome	9372	40.44
MPDB000528	Viruses	genome	9431	40.47
MPDB000529	Viruses	genome	9395	40.44
MPDB000530	Viruses	genome	9440	40.38
MPDB000531	Viruses	genome	9515	40.57
MPDB000532	Viruses	genome	9499	40.52
MPDB000533	Viruses	genome	9610	40.56
MPDB000534	Viruses	genome	9514	40.93
MPDB000535	Viruses	genome	9575	42.16
MPDB000536	Viruses	genome	9576	41.92
MPDB000537	Viruses	genome	9576	41.94
MPDB000538	Viruses	genome	9598	42.08
MPDB000539	Viruses	genome	9520	41.69
MPDB000540	Viruses	genome	9522	41.67
MPDB000541	Viruses	genome	9511	41.58
MPDB000542	Viruses	genome	9487	41.69
MPDB000543	Viruses	genome	9520	41.63
MPDB000544	Viruses	genome	9482	41.65
MPDB000545	Viruses	genome	9491	41.71
MPDB000546	Viruses	genome	9575	41.71
MPDB000547	Viruses	genome	9492	41.66
MPDB000548	Viruses	genome	9484	41.33
MPDB000549	Viruses	genome	9527	41.7
MPDB000550	Viruses	genome	9494	41.68
MPDB000551	Viruses	genome	9539	41.57
MPDB000552	Viruses	genome	9509	41.99
