seqid	taxid	species	category	accession	length	source	original_header
MPDB000028	1408	Bacillus pumilus	bacteria	LT617087.1	1292	reference	1408|Bacillus pumilus|bacteria|LT617087.1 LT617087.1 Bacillus pumilus partial 16S rRNA gene, isolate pH9_R2_2_II_C
MPDB000029	1408	Bacillus pumilus	bacteria	LT635531.1	479	reference	1408|Bacillus pumilus|bacteria|LT635531.1 LT635531.1 Bacillus pumilus partial 16S rRNA gene, isolate Sn2
MPDB000030	1408	Bacillus pumilus	bacteria	LT635532.1	330	reference	1408|Bacillus pumilus|bacteria|LT635532.1 LT635532.1 Bacillus pumilus partial 16S rRNA gene, isolate Sn12
MPDB000031	1408	Bacillus pumilus	bacteria	LT635536.1	976	reference	1408|Bacillus pumilus|bacteria|LT635536.1 LT635536.1 Bacillus pumilus partial 16S rRNA gene, isolate MK10
MPDB000032	1408	Bacillus pumilus	bacteria	LT797521.1	1346	reference	1408|Bacillus pumilus|bacteria|LT797521.1 LT797521.1 Bacillus pumilus partial 16S rRNA gene, isolate LK1HaP9
MPDB000033	1408	Bacillus pumilus	bacteria	LT797528.1	1441	reference	1408|Bacillus pumilus|bacteria|LT797528.1 LT797528.1 Bacillus pumilus partial 16S rRNA gene, isolate APS2
MPDB000034	1408	Bacillus pumilus	bacteria	LT844637.1	1097	reference	1408|Bacillus pumilus|bacteria|LT844637.1 LT844637.1 Bacillus pumilus partial 16S rRNA gene, strain PL-3
MPDB000035	1408	Bacillus pumilus	bacteria	LT969592.1	976	reference	1408|Bacillus pumilus|bacteria|LT969592.1 LT969592.1 Bacillus pumilus partial 16S rRNA gene, strain MR25
MPDB000036	1408	Bacillus pumilus	bacteria	LT969725.1	867	reference	1408|Bacillus pumilus|bacteria|LT969725.1 LT969725.1 Bacillus pumilus partial 16S rRNA gene, isolate MR52
MPDB000037	1408	Bacillus pumilus	bacteria	LT978407.1	1084	reference	1408|Bacillus pumilus|bacteria|LT978407.1 LT978407.1 Bacillus pumilus partial 16S rRNA gene, isolate KMP123-MS1
MPDB000038	1408	Bacillus pumilus	bacteria	LT984707.1	405	reference	1408|Bacillus pumilus|bacteria|LT984707.1 LT984707.1 Bacillus pumilus partial 16S rRNA gene, strain MC 3
MPDB000039	1408	Bacillus pumilus	bacteria	LT986210.1	1392	reference	1408|Bacillus pumilus|bacteria|LT986210.1 LT986210.1 Bacillus pumilus partial 16S rRNA gene, isolate VrL14
MPDB000040	1408	Bacillus pumilus	bacteria	LT986212.1	1410	reference	1408|Bacillus pumilus|bacteria|LT986212.1 LT986212.1 Bacillus pumilus partial 16S rRNA gene, isolate VrN1
MPDB000041	1408	Bacillus pumilus	bacteria	LT986213.1	1392	reference	1408|Bacillus pumilus|bacteria|LT986213.1 LT986213.1 Bacillus pumilus partial 16S rRNA gene, isolate VrN2
MPDB000042	1408	Bacillus pumilus	bacteria	LT986222.1	1393	reference	1408|Bacillus pumilus|bacteria|LT986222.1 LT986222.1 Bacillus pumilus partial 16S rRNA gene, isolate VrR6
MPDB000043	1408	Bacillus pumilus	bacteria	LT986225.1	1393	reference	1408|Bacillus pumilus|bacteria|LT986225.1 LT986225.1 Bacillus pumilus partial 16S rRNA gene, isolate VrR11
MPDB000044	169669	Pseudomonas extremorientalis	bacteria	LC654276.1	1382	reference	169669|Pseudomonas extremorientalis|bacteria|玉米细菌性茎腐病 LC654276.1 Pseudomonas extremorientalis MAFF 302031 gene for 16S rRNA, partial sequence
MPDB000045	169669	Pseudomonas extremorientalis	bacteria	LK985437.1	523	reference	169669|Pseudomonas extremorientalis|bacteria|LK985437.1 LK985437.1 Pseudomonas extremorientalis partial 16S rRNA gene, isolate Br-MWM03
MPDB000046	169669	Pseudomonas extremorientalis	bacteria	LN997963.1	722	reference	169669|Pseudomonas extremorientalis|bacteria|LN997963.1 LN997963.1 Pseudomonas costantini partial 16S rRNA gene, isolate JL56
MPDB000047	204038	Dickeya dadantii	bacteria	AB713534.1	1370	reference	204038|Dickeya dadantii|bacteria|AB713534.1 AB713534.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: SUPP2200
MPDB000048	204038	Dickeya dadantii	bacteria	AB713543.1	1370	reference	204038|Dickeya dadantii|bacteria|AB713543.1 AB713543.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: MAFF301767
MPDB000049	204038	Dickeya dadantii	bacteria	AB713545.1	1371	reference	204038|Dickeya dadantii|bacteria|细菌性茎腐病 AB713545.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: MAFF106634
MPDB000050	204038	Dickeya dadantii	bacteria	AB713563.1	1370	reference	204038|Dickeya dadantii|bacteria|细菌性茎腐病 AB713563.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: SUPP877
MPDB000051	204038	Dickeya dadantii	bacteria	AB713572.1	1370	reference	204038|Dickeya dadantii|bacteria|细菌性茎腐病 AB713572.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: SUPP2162
MPDB000052	204038	Dickeya dadantii	bacteria	AB744145.1	1363	reference	204038|Dickeya dadantii|bacteria|AB744145.1 AB744145.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: MAFF106634
MPDB000053	204038	Dickeya dadantii	bacteria	AB744146.1	1362	reference	204038|Dickeya dadantii|bacteria|AB744146.1 AB744146.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: MAFF301660
MPDB000054	204038	Dickeya dadantii	bacteria	AB744147.1	1363	reference	204038|Dickeya dadantii|bacteria|AB744147.1 AB744147.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: MAFF301677
MPDB000055	204038	Dickeya dadantii	bacteria	AB744148.1	1363	reference	204038|Dickeya dadantii|bacteria|AB744148.1 AB744148.1 Dickeya dadantii gene for 16S rRNA, partial sequence, strain: MAFF301767
MPDB000056	204038	Dickeya dadantii	bacteria	LC490701.1	463	reference	204038|Dickeya dadantii|bacteria|LC490701.1 LC490701.1 Dickeya dadantii Yama2 gene for 16S rRNA, partial sequence
MPDB000057	204038	Dickeya dadantii	bacteria	LC490705.1	462	reference	204038|Dickeya dadantii|bacteria|LC490705.1 LC490705.1 Dickeya dadantii Aka2-2 gene for 16S rRNA, partial sequence
MPDB000058	204038	Dickeya dadantii	bacteria	LC490710.1	462	reference	204038|Dickeya dadantii|bacteria|LC490710.1 LC490710.1 Dickeya dadantii Oka2 gene for 16S rRNA, partial sequence
MPDB000059	204038	Dickeya dadantii	bacteria	LC490711.1	462	reference	204038|Dickeya dadantii|bacteria|LC490711.1 LC490711.1 Dickeya dadantii OkaW gene for 16S rRNA, partial sequence
MPDB000060	204042	Dickeya zeae	bacteria	AB713536.1	1371	reference	204042|Dickeya zeae|bacteria|AB713536.1 AB713536.1 Dickeya zeae gene for 16S rRNA, partial sequence, strain: SUPP410
MPDB000061	204042	Dickeya zeae	bacteria	AB713546.1	1370	reference	204042|Dickeya zeae|bacteria|AB713546.1 AB713546.1 Dickeya zeae gene for 16S rRNA, partial sequence, strain: MAFF311098
MPDB000062	204042	Dickeya zeae	bacteria	AB713548.1	1372	reference	204042|Dickeya zeae|bacteria|AB713548.1 AB713548.1 Dickeya zeae gene for 16S rRNA, partial sequence, strain: SUPP739
MPDB000063	204042	Dickeya zeae	bacteria	AB713553.1	1371	reference	204042|Dickeya zeae（ Erwinia chrysanthemi pv. zeae）|bacteria|细菌性茎腐病 AB713553.1 Dickeya zeae gene for 16S rRNA, partial sequence, strain: SUPP27
MPDB000064	204042	Dickeya zeae	bacteria	AB713560.1	1370	reference	204042|Dickeya zeae（ Erwinia chrysanthemi pv. zeae）|bacteria|细菌性茎腐病 AB713560.1 Dickeya zeae gene for 16S rRNA, partial sequence, strain: MAFF106502
MPDB000065	204042	Dickeya zeae	bacteria	AB713565.1	1372	reference	204042|Dickeya zeae（ Erwinia chrysanthemi pv. zeae）|bacteria|细菌性茎腐病 AB713565.1 Dickeya zeae gene for 16S rRNA, partial sequence, strain: SUPP1158
MPDB000066	204042	Dickeya zeae	bacteria	AB744152.1	1363	reference	204042|Dickeya zeae|bacteria|AB744152.1 AB744152.1 Dickeya zeae gene for 16S rRNA, partial sequence, strain: MAFF311098
MPDB000067	28092	Robbsia andropogonis	bacteria	AB021422.1	1449	reference	28092|Robbsia andropogonis（Pseudomonas andropogonis）|bacteria|叶斑病 AB021422.1 Burkholderia andropogonis gene for 16S rRNA, strain: ATCC 19311
MPDB000068	28092	Robbsia andropogonis	bacteria	AB744701.1	1458	reference	28092|Robbsia andropogonis（Pseudomonas andropogonis）|bacteria|叶斑病 AB744701.1 Paraburkholderia andropogonis gene for 16S rRNA, partial sequence, strain: R128
MPDB000069	28092	Robbsia andropogonis	bacteria	AM392339.1	413	reference	28092|Robbsia andropogonis|bacteria|AM392339.1 AM392339.1 Burkholderia andropogonis partial 16S rRNA gene, isolate SFendo-B3clone2
MPDB000070	28092	Robbsia andropogonis	bacteria	AM392350.1	414	reference	28092|Robbsia andropogonis|bacteria|AM392350.1 AM392350.1 Burkholderia andropogonis partial 16S rRNA gene, isolate SFendo-B3clone3
MPDB000071	28092	Robbsia andropogonis	bacteria	AM502984.1	1340	reference	28092|Robbsia andropogonis|bacteria|AM502984.1 AM502984.1 Burkholderia andropogonis partial 16S rRNA gene, clone WF2 1
MPDB000072	28092	Robbsia andropogonis	bacteria	LC507981.1	1453	reference	28092|Robbsia andropogonis（Pseudomonas andropogonis）|bacteria|叶斑病 LC507981.1 Robbsia andropogonis JCM 13883 gene for 16S rRNA, partial sequence
MPDB000073	28095	Burkholderia gladioli	bacteria	AB012916.1	1484	reference	28095|Burkholderia gladioli|bacteria|AB012916.1 AB012916.1 Burkholderia gladioli gene for 16S rRNA, complete sequence
MPDB000074	28095	Burkholderia gladioli	bacteria	AB013111.1	1499	reference	28095|Burkholderia gladioli|bacteria|细菌性叶斑病/茎腐病 AB013111.1 Burkholderia gladioli gene for 16S rRNA, partial sequence
MPDB000075	28095	Burkholderia gladioli	bacteria	AB021384.1	1509	reference	28095|Burkholderia gladioli|bacteria|AB021384.1 AB021384.1 Burkholderia gladioli gene for 16S rRNA, strain: NCIMB 9898
MPDB000076	28095	Burkholderia gladioli	bacteria	AB021389.1	1498	reference	28095|Burkholderia gladioli|bacteria|AB021389.1 AB021389.1 Burkholderia gladioli gene for 16S rRNA, strain: ATCC 33664
MPDB000077	28095	Burkholderia gladioli	bacteria	AB024491.1	1522	reference	28095|Burkholderia gladioli|bacteria|AB024491.1 AB024491.1 Burkholderia gladioli pv. gladioli gene for 16S rRNA, strain: NIAS 1065
MPDB000078	28095	Burkholderia gladioli	bacteria	AB680484.1	1458	reference	28095|Burkholderia gladioli|bacteria|AB680484.1 AB680484.1 Burkholderia gladioli gene for 16S rRNA, partial sequence, strain: NBRC 13700
MPDB000079	28095	Burkholderia gladioli	bacteria	AH004175.2	1443	reference	28095|Burkholderia gladioli|bacteria|AH004175.2 AH004175.2 Burkholderia gladioli 16S rRNA gene, complete sequence
MPDB000080	28095	Burkholderia gladioli	bacteria	D13060.1	157	reference	28095|Burkholderia gladioli|bacteria|D13060.1 D13060.1 Burkholderia gladioli gene for 16S rRNA, partial sequence, strain: MAFF 03-01065 (= EY 3258)
MPDB000081	28095	Burkholderia gladioli	bacteria	L28156.1	770	reference	28095|Burkholderia gladioli|bacteria|L28156.1 L28156.1 Pseudomonas gladioli 16S ribosomal RNA (16S rRNA) gene, transfer RNA-Ile (tRNA-Ile) gene, transfer RNA-Ala (tRNA-Ala) gene, 23S ribosomal RNA (23S rRNA) gene
MPDB000082	28095	Burkholderia gladioli	bacteria	L28157.1	737	reference	28095|Burkholderia gladioli|bacteria|L28157.1 L28157.1 Pseudomonas gladioli 16S ribosomal RNA (16S rRNA) gene, transfer RNA-Ile (tRNA-Ile) gene, transfer RNA-Ala (tRNA-Ala) gene, 23S ribosomal RNA (23S rRNA) gene
MPDB000083	28095	Burkholderia gladioli	bacteria	LC792307.1	1400	reference	28095|Burkholderia gladioli|bacteria|细菌性叶斑病/茎腐病 LC792307.1 Burkholderia gladioli SOR269 gene for 16S rRNA, partial sequence
MPDB000084	28095	Burkholderia gladioli	bacteria	LC792308.1	1401	reference	28095|Burkholderia gladioli|bacteria|细菌性叶斑病/茎腐病 LC792308.1 Burkholderia gladioli SOR276 gene for 16S rRNA, partial sequence
MPDB000085	28095	Burkholderia gladioli	bacteria	LT547718.1	1372	reference	28095|Burkholderia gladioli|bacteria|LT547718.1 LT547718.1 Burkholderia gladioli partial 16S rRNA gene, strain TIP8
MPDB000087	287	Pseudomonas aeruginosa	bacteria	LC815917.1	808	reference	287|Pseudomonas aeruginosa|bacteria|LC815917.1 LC815917.1 Pseudomonas aeruginosa HKA2 gene for 16S rRNA, partial sequence
MPDB000088	287	Pseudomonas aeruginosa	bacteria	LC815921.1	809	reference	287|Pseudomonas aeruginosa|bacteria|LC815921.1 LC815921.1 Pseudomonas aeruginosa HKA6 gene for 16S rRNA, partial sequence
MPDB000089	287	Pseudomonas aeruginosa	bacteria	LC816373.1	1351	reference	287|Pseudomonas aeruginosa|bacteria|LC816373.1 LC816373.1 Pseudomonas aeruginosa BHJ1 gene for 16S rRNA, partial sequence
MPDB000090	287	Pseudomonas aeruginosa	bacteria	LC816374.1	1344	reference	287|Pseudomonas aeruginosa|bacteria|LC816374.1 LC816374.1 Pseudomonas aeruginosa BHJ2 gene for 16S rRNA, partial sequence
MPDB000091	287	Pseudomonas aeruginosa	bacteria	LC816375.1	1365	reference	287|Pseudomonas aeruginosa|bacteria|LC816375.1 LC816375.1 Pseudomonas aeruginosa BHJ3 gene for 16S rRNA, partial sequence
MPDB000092	287	Pseudomonas aeruginosa	bacteria	LC816376.1	1364	reference	287|Pseudomonas aeruginosa|bacteria|LC816376.1 LC816376.1 Pseudomonas aeruginosa BHJ4 gene for 16S rRNA, partial sequence
MPDB000093	287	Pseudomonas aeruginosa	bacteria	LC816377.1	1366	reference	287|Pseudomonas aeruginosa|bacteria|LC816377.1 LC816377.1 Pseudomonas aeruginosa BHJ5 gene for 16S rRNA, partial sequence
MPDB000094	287	Pseudomonas aeruginosa	bacteria	LC816378.1	1330	reference	287|Pseudomonas aeruginosa|bacteria|LC816378.1 LC816378.1 Pseudomonas aeruginosa BHJ6 gene for 16S rRNA, partial sequence
MPDB000095	287	Pseudomonas aeruginosa	bacteria	LC816379.1	1355	reference	287|Pseudomonas aeruginosa|bacteria|LC816379.1 LC816379.1 Pseudomonas aeruginosa BHJ7 gene for 16S rRNA, partial sequence
MPDB000096	287	Pseudomonas aeruginosa	bacteria	LC816380.1	1311	reference	287|Pseudomonas aeruginosa|bacteria|LC816380.1 LC816380.1 Pseudomonas aeruginosa BHJ8 gene for 16S rRNA, partial sequence
MPDB000097	287	Pseudomonas aeruginosa	bacteria	LC816381.1	1350	reference	287|Pseudomonas aeruginosa|bacteria|LC816381.1 LC816381.1 Pseudomonas aeruginosa BHJ9 gene for 16S rRNA, partial sequence
MPDB000098	287	Pseudomonas aeruginosa	bacteria	LC816382.1	1324	reference	287|Pseudomonas aeruginosa|bacteria|LC816382.1 LC816382.1 Pseudomonas aeruginosa BHJ10 gene for 16S rRNA, partial sequence
MPDB000099	287	Pseudomonas aeruginosa	bacteria	LC834139.1	290	reference	287|Pseudomonas aeruginosa|bacteria|LC834139.1 LC834139.1 Pseudomonas aeruginosa KSA-58 gene for 16S rRNA, partial sequence
MPDB000100	287	Pseudomonas aeruginosa	bacteria	LC836059.1	1227	reference	287|Pseudomonas aeruginosa|bacteria|LC836059.1 LC836059.1 Pseudomonas aeruginosa Fad-Khb gene for 16S rRNA, partial sequence
MPDB000101	287	Pseudomonas aeruginosa	bacteria	LC843372.1	660	reference	287|Pseudomonas aeruginosa|bacteria|LC843372.1 LC843372.1 Pseudomonas aeruginosa HNHN1 genes for 16S rRNA, tRNA-Ile, tRNA-Ala, 23S rRNA, partial and complete sequence
MPDB000102	287	Pseudomonas aeruginosa	bacteria	LC875561.1	1479	reference	287|Pseudomonas aeruginosa|bacteria|顶腐病 LC875561.1 Pseudomonas aeruginosa W10-8 gene for 16S rRNA, partial sequence
MPDB000103	287	Pseudomonas aeruginosa	bacteria	LC921246.1	1007	reference	287|Pseudomonas aeruginosa|bacteria|顶腐病 LC921246.1 Pseudomonas aeruginosa 15f2 gene for 16S rRNA, partial sequence
MPDB000104	287	Pseudomonas aeruginosa	bacteria	OX503253.1	949	reference	287|Pseudomonas aeruginosa|bacteria|OX503253.1 OX503253.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_53
MPDB000105	287	Pseudomonas aeruginosa	bacteria	OX503254.1	951	reference	287|Pseudomonas aeruginosa|bacteria|OX503254.1 OX503254.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_54
MPDB000106	287	Pseudomonas aeruginosa	bacteria	OX503255.1	964	reference	287|Pseudomonas aeruginosa|bacteria|OX503255.1 OX503255.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_55
MPDB000107	287	Pseudomonas aeruginosa	bacteria	OX503256.1	780	reference	287|Pseudomonas aeruginosa|bacteria|OX503256.1 OX503256.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_56
MPDB000108	287	Pseudomonas aeruginosa	bacteria	OX503257.1	958	reference	287|Pseudomonas aeruginosa|bacteria|OX503257.1 OX503257.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_57
MPDB000109	287	Pseudomonas aeruginosa	bacteria	OX503258.1	703	reference	287|Pseudomonas aeruginosa|bacteria|OX503258.1 OX503258.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_58
MPDB000110	287	Pseudomonas aeruginosa	bacteria	OX503259.1	974	reference	287|Pseudomonas aeruginosa|bacteria|OX503259.1 OX503259.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_59
MPDB000111	287	Pseudomonas aeruginosa	bacteria	OX503260.1	974	reference	287|Pseudomonas aeruginosa|bacteria|OX503260.1 OX503260.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_60
MPDB000112	287	Pseudomonas aeruginosa	bacteria	OX503261.1	939	reference	287|Pseudomonas aeruginosa|bacteria|OX503261.1 OX503261.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S5_61
MPDB000113	287	Pseudomonas aeruginosa	bacteria	OX503262.1	849	reference	287|Pseudomonas aeruginosa|bacteria|OX503262.1 OX503262.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_62
MPDB000114	287	Pseudomonas aeruginosa	bacteria	OX503263.1	976	reference	287|Pseudomonas aeruginosa|bacteria|OX503263.1 OX503263.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_63
MPDB000115	287	Pseudomonas aeruginosa	bacteria	OX503264.1	962	reference	287|Pseudomonas aeruginosa|bacteria|OX503264.1 OX503264.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_64
MPDB000116	287	Pseudomonas aeruginosa	bacteria	OX503265.1	671	reference	287|Pseudomonas aeruginosa|bacteria|OX503265.1 OX503265.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_65
MPDB000117	287	Pseudomonas aeruginosa	bacteria	OX503266.1	957	reference	287|Pseudomonas aeruginosa|bacteria|OX503266.1 OX503266.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_66
MPDB000118	287	Pseudomonas aeruginosa	bacteria	OX503267.1	952	reference	287|Pseudomonas aeruginosa|bacteria|OX503267.1 OX503267.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_67
MPDB000119	287	Pseudomonas aeruginosa	bacteria	OX503268.1	949	reference	287|Pseudomonas aeruginosa|bacteria|OX503268.1 OX503268.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_68
MPDB000120	287	Pseudomonas aeruginosa	bacteria	OX503269.1	935	reference	287|Pseudomonas aeruginosa|bacteria|OX503269.1 OX503269.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_69
MPDB000121	287	Pseudomonas aeruginosa	bacteria	OX503270.1	363	reference	287|Pseudomonas aeruginosa|bacteria|OX503270.1 OX503270.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_70
MPDB000122	287	Pseudomonas aeruginosa	bacteria	OX503271.1	881	reference	287|Pseudomonas aeruginosa|bacteria|OX503271.1 OX503271.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_71
MPDB000123	287	Pseudomonas aeruginosa	bacteria	OX503272.1	930	reference	287|Pseudomonas aeruginosa|bacteria|OX503272.1 OX503272.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_72
MPDB000124	287	Pseudomonas aeruginosa	bacteria	OX503273.1	933	reference	287|Pseudomonas aeruginosa|bacteria|OX503273.1 OX503273.1 Pseudomonas aeruginosa partial 16S rRNA gene, isolate S4_73
MPDB000125	287	Pseudomonas aeruginosa	bacteria	PP809806.1	910	reference	287|Pseudomonas aeruginosa|bacteria|PP809806.1 PP809806.1 Pseudomonas aeruginosa strain 16S rRNA IRAQ RAM5 16S ribosomal RNA gene, partial sequence
MPDB000126	287	Pseudomonas aeruginosa	bacteria	PP809858.1	1050	reference	287|Pseudomonas aeruginosa|bacteria|PP809858.1 PP809858.1 Pseudomonas aeruginosa strain 16S rRNA IRAQ RAM9 16S ribosomal RNA gene, partial sequence
MPDB000127	287	Pseudomonas aeruginosa	bacteria	PP809878.1	1120	reference	287|Pseudomonas aeruginosa|bacteria|PP809878.1 PP809878.1 Pseudomonas aeruginosa strain 16S rRNA IRAQ RAM10 16S ribosomal RNA gene, partial sequence
MPDB000128	287	Pseudomonas aeruginosa	bacteria	PZ413526.1	1258	reference	287|Pseudomonas aeruginosa|bacteria|顶腐病 PZ413526.1 Pseudomonas aeruginosa strain AS2 Partial Strain, 16S rRNA 16S ribosomal RNA gene, partial sequence
MPDB000129	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	U09763.1	1478	reference	31963|Clavibacter michiganensis subsp. nebraskensis|bacteria|高斯细菌性枯萎病/叶枯病 U09763.1 Clavibacter michiganensis nebraskensis LMG 5627 16S rRNA
