species	taxid	category	raw_refs	source_type	doi_list	pmid_list	resolution_status	notes
Pantoea stewartii subsp. stewartii	66269	bacteria	Roper M C. Pantoea stewartii subsp. stewartii: lessons learned from a xylem‐dwelling pathogen of sweet corn[J]. Molecular plant pathology, 2011, 12(7): 628-637.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pectobacterium carotovorum	554	bacteria	Hoffmann A, Zenelt W, Krawczyk K. The effect of the method of inoculation of corn plants with bacterial pathogens on the formation and development of disease symptoms[J]. 2024.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pseudomonas aeruginosa	287	bacteria	WANG X M, WANG Z Y. Illustrated Handbook of Maize Diseases, Insect Pests and Weeds in China. Beijing: China Agriculture Press, 2018. (in Chinese) 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	book_or_compendium; chinese_literature	10.13926/j.cnki.apps.000731.		RESOLVED	
Pseudomonas asplenii	53407	bacteria	Duveiller E, Snacken F, Maraite H, et al. First detection of Pseudomonas fuscovaginae on maize and sorghum in Burundi[J]. 1989.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pseudomonas extremorientalis	169669	bacteria	陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	chinese_literature	10.13926/j.cnki.apps.000731.		RESOLVED	
Pseudomonas syringae pv. lapsa	199201	bacteria	郑雅楠,吕国忠,杨宇,等.玉米细菌性茎腐病鉴别与防治[J].安徽农业科学,2006,(10):2128+2133.DOI:10.13989/j.cnki.0517-6611.2006.10.056﻿.	chinese_literature	10.13989/j.cnki.0517-6611.2006.10.056﻿.		RESOLVED	
Pseudomonas syringae pv. syringae	321	bacteria	Ravindran A, Jalan N, Yuan J S, et al. Comparative genomics of Pseudomonas syringae pv. syringae strains B301D and HS 191 and insights into intrapathovar traits associated with plant pathogenesis[J]. Microbiologyopen, 2015, 4(4): 553-573.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Robbsia andropogonis	28092	bacteria	Vidaver A K, Carlson R R. Leaf Spot of Field Corn Caused by Pseudimonas andropogonis[J]. 1978.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Serratia marcescens	615	bacteria	Liu H, Zhao C, Wang Y, et al. Isolation and Identification of the Causal Agent of Top Rot and the Genetic Architecture of Resistance in Maize[J]. Plant Disease, 2023, 107(9): 2799-2807.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Stenotrophomonas maltophilia	40324	bacteria	Heidari M, Aeini M. Stenotrophomonas maltophilia causing maize (Zea mays L.) seedling soft rot disease, an emerging threat to maize crop[J]. Journal of Phytopathology, 2024, 172(2): e13299.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Xanthomonas vasicola pv. vasculorum	325776	bacteria	Lang J M, DuCharme E, Ibarra Caballero J, et al. Detection and characterization of Xanthomonas vasicola pv. vasculorum (Cobb 1894) comb. nov. causing bacterial leaf streak of corn in the United States[J]. Phytopathology, 2017, 107(11): 1312-1321.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Alphanucleorhabdovirus maydis	279896	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Alphanucleorhabdovirus zeairanense	348823	viruses	Ghorbani A, Izadpanah K, Dietzgen R G. Changes in maize transcriptome in response to maize Iranian mosaic virus infection[J]. Plos one, 2018, 13(4): e0194592.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
American wheat striate mosaic virus	1985707	viruses	Slykhuis J T. Vector and host relations of North American wheat striate mosaic virus[J]. Canadian Journal of Botany, 1963, 41(8): 1171-1185.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Aureusvirus zeae	445227	viruses	Zhang L, Zitter T A, Lulkin E J. Artificial inoculation of maize white line mosaic virus into corn and wheat[J]. 1991.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Betacytorhabdovirus hordei	2545470	viruses	Greber R S. Maize sterile stunt—a delphacid transmitted rhabdovirus disease affecting some maize genotypes in Australia[J]. Australian Journal of Agricultural Research, 1982, 33(1): 13-23.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Bromovirus BMV	12302	viruses	Aguilera S, Rodríguez-Escobar J G, Romero-González V N, et al. Identification and abundance of six viruses and a spiroplasma in single and mixed infections in maize fields in Veracruz, Mexico[J]. Revista bio ciencias, 2019, 6.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Cucumovirus CMV	12305	viruses	Kim M K, Kwak H R, Lee S H, et al. Characteristics of Cucumber mosaic virus isolated from Zea mays in Korea[J]. The Plant Pathology Journal, 2011, 27(4): 372-377.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Emaravirus tritici	1980428	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fijivirus boryzae	519497	viruses	Zhou G, Xu D, Xu D, et al. Southern rice black-streaked dwarf virus: a white-backed planthopper-transmitted fijivirus threatening rice production in Asia[J]. Frontiers in microbiology, 2013, 4: 270.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fijivirus cuartoense	185954	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fijivirus zeae	10989	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fijivirus zeae	10990	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Gammanucleorhabdovirus cerealis	2964312	viruses	Greber R S. Cereal chlorotic mottle virus—a rhabdovirus of Gramineae in Australia transmitted by Nesoclutha pallida (Evans)[J]. Australian Journal of Agricultural Research, 1979, 30(3): 433-443.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Gammanucleorhabdovirus maydis	209854	viruses	Redinbaugh M G, Seifers D L, Meulia T, et al. Maize fine streak virus, a new leafhopper-transmitted rhabdovirus[J]. Phytopathology, 2002, 92(11): 1167-1174.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Hordeivirus hordei	12327	viruses	Pring D R. Barley stripe mosaic virus infection of corn and the" aberrant ratio" genetic effect[J]. 1974.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Luteovirus mavhordei	2169984	viruses	Bisnieks, M., Kvarnheden, A., Turka, I., & Sigvald, R. (2006). Occurrence of barley yellow dwarf virus and cereal yellow dwarf virus in pasture grasses and spring cereals in Latvia. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 56(3), 171–178. https://doi.org/10.1080/09064710500297658	journal	10.1080/09064710500297658		RESOLVED	
Machlomovirus zeae	12138	viruses	Jones RAC. (2022). Global Plant Virus Disease Pandemics. Plants	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Maize yellow stripe virus	328622	viruses	Mahmoud A, Royer M, Granier M, et al. Evidence for a segmented genome and partial nucleotide sequences of maize yellow stripe virus, a proposed new tenuivirus[J]. Archives of virology, 2007, 152(9): 1757-1762.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Marafivirus maydis	59749	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Mastrevirus bourbonense	1182518	viruses	Oyeniran K A, Hartnady P, Claverie S, et al. How virulent are emerging maize-infecting mastreviruses?[J]. Archives of virology, 2021, 166(3): 955-959.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Mastrevirus fulleri	2557970	viruses	Guadie D, Tesfaye K, Knierim D, et al. Molecular analysis of maize (Zea mays L.)-infecting mastreviruses in Ethiopia reveals marked diversity of virus genomes and a novel species[J]. Virus genes, 2019, 55(3): 339-345.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Mastrevirus storeyi	10821	viruses	Santa Cruz F C, Domalanta J C, Minguez L T, et al. First report of maize streak virus affecting maize in the Philippines[J]. New Disease Reports, 2024, 50(1).	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Polerovirus MAYMV	1856642	viruses	Stewart L R, Willie K. Maize yellow mosaic virus interacts with maize chlorotic mottle virus and sugarcane mosaic virus in mixed infections, but does not cause maize lethal necrosis[J]. Plant disease, 2021, 105(10): 3008-3014.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Polerovirus MYDVRMV	2170101	viruses	Krueger E N, Beckett R J, Gray S M, et al. The complete nucleotide sequence of the genome of Barley yellow dwarf virus-RMV reveals it to be a new Polerovirus distantly related to other yellow dwarf viruses[J]. Frontiers in Microbiology, 2013, 4: 205.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Potyvirus halapensis	31742	viruses	Stewart L R, Willie K, Wijeratne S, et al. Johnsongrass mosaic virus contributes to maize lethal necrosis in East Africa[J]. Plant disease, 2017, 101(8): 1455-1462.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Potyvirus pennisseti	221262	viruses	Fan Z F, Wang W J, Jiang X, et al. Natural infection of maize byPennisetum mosaic virusin China[J]. Plant pathology, 2004, 53(6).	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Potyvirus sacchari	12224	viruses	Jones RAC. (2021). Global Plant Virus Disease Pandemics. Plants	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Potyvirus sorghitessellati	32619	viruses	Kannan M, Ismail I, Bunawan H. Maize dwarf mosaic virus: from genome to disease management[J]. Viruses, 2018, 10(9): 492.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Potyvirus zeananus	12203	viruses	Jones RAC. (2021). Global Plant Virus Disease Pandemics. Plants	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Potyvirus zeatessellati	115232	viruses	Seifers D L, Salomon R, Marie-Jeanne V, et al. Characterization of a novel potyvirus isolated from maize in Israel[J]. Phytopathology, 2000, 90(5): 505-513.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Tenuivirus oryzaclavatae	3052763	viruses	MUNKVOLD G P, WHITE D G. Compendium of Corn Diseases. 4th ed. Saint Paul: The American Phytopathological Society Press, 2016.	book_or_compendium			UNRESOLVED	no explicit DOI/PMID in raw citation block
Tenuivirus zeae	3052767	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Totivirus jyukyu	1756285	viruses	Read D A, Featherston J, Rees D J G, et al. Diversity and distribution of Maize-associated totivirus strains from Tanzania[J]. Virus Genes, 2019, 55(3): 429-432.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Tritimovirus tritici	31741	viruses	Satyanarayana T, Roy F. The C-terminus of Wheat streak mosaic virus Coat Protein Is Involved in Differential Infection of Wheat and Maize through Host-Specific Long-Distance Transport[J]. 2014.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Waikavirus zeae	51354	viruses	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Zeavirus zeae	137556	viruses	Louie R, Redinbaugh M G, Gordon D T, et al. Maize necrotic streak virus, a new maize virus with similarity to species of the family Tombusviridae[J]. Plant disease, 2000, 84(10): 1133-1139.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Agroathelia rolfsii (Sclerotium rolfsii, Athelia rolfsii)	39291	fungi	Ahmad Y, Mirza M S, Aslam M. Collar rot of maize caused by Sclerotium rolfsii in Pakistan[J]. Pakistan Journal of Agricultural Research (Pakistan), 1988, 9(4).	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Alternaria alternata	5599	fungi	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Alternaria burnsii	1187904	fungi	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Alternaria tenuissima	119927	fungi	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Ascochyta maydis	NOT_VERIFIED	fungi	Stout G L. New fungi found on the Indian corn plant in Illinois[J]. Mycologia, 1930, 22(6): 271-287. | NCBI Taxonomy 未收录 Ascochyta maydis；与 Didymella maydis 非同一物种，TaxID 不可混用	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Ascochyta zeae	NOT_VERIFIED	fungi	Subedi S. A review on important maize diseases and their management in Nepal[J]. Journal of Maize Research and Development, 2015, 1(1): 28-52. | NCBI Taxonomy 未收录 Ascochyta zeae	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Aspergillus flavus	5059	fungi	Klich M A. Aspergillus flavus: the major producer of aflatoxin[J]. Molecular plant pathology, 2007, 8(6): 713-722.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Aspergillus glaucus	41413	fungi	Nnebechukwu I A, Rwang N Y, Ikechi-Nwogu C G, et al. A COMPARATIVE ANALYSIS OF THE ANTIFUNGAL EFFECTS OF YEAST AND BACILLUS SUBTILIS IN THE CONTROL OF BLUE EYE MOLD DISEASE OF MAIZE AND RICE[J]. FUDMA JOURNAL OF SCIENCES, 2024, 8(6): 581-586.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Aspergillus niger	5061	fungi	Goher F, Khan F S, Saeed S, et al. First report of Aspergillus niger causing preharvest ear rot infection of maize in Pakistan[J]. Plant Disease, 2021, 105(1): 228.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Aspergillus parasiticus	5067	fungi	Sivakaame G, Anand T, Paranidharan V, et al. Exploring Bacterial Endophytes as Potential Biocontrol Agents Against Aspergillus parasiticus Colonisation and Aflatoxin Contamination in Maize[J]. Journal of Phytopathology, 2025, 173(4): e70119.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Aspergillus tamarii	41984	fungi	Okoth S, Nyongesa B, Ayugi V, et al. Toxigenic potential of Aspergillus species occurring on maize kernels from two agro-ecological zones in Kenya[J]. Toxins, 2012, 4(11): 991-1007.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Bipolaris maydis (Cochliobolus heterostrophus)	5016	fungi	Bruns H A. Southern corn leaf blight: a story worth retelling[J]. Agronomy Journal, 2017, 109(4): 1218-1224.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Bipolaris sorokiniana (Cochliobolus sativus)	45130	fungi	郭宁,倪璇,石洁,等.玉米麦根腐平脐蠕孢叶斑病的发生与病原鉴定[J].植物病理学报,2017,47(1):1-8.DOI:10.13926/j.cnki.apps.000049.	chinese_literature	10.13926/j.cnki.apps.000049.		RESOLVED	
Bipolaris zeicola (Cochliobolus carbonum)	5017	fungi	Tonukari N J, Scott-Craig J S, Waltonb J D. The Cochliobolus carbonum SNF1 gene is required for cell wall–degrading enzyme expression and virulence on maize[J]. The Plant Cell, 2000, 12(2): 237-247.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Botryosphaeria zeae	NOT_VERIFIED	fungi	Bezuidenhout, Henrietta and Marasas W F O. Botryosphaeria zeae: the cause of grey ear rot of maize (Zea mays) in South Africa[J]. Phytophylactica, 1978, 10(1): 21-24. | NCBI Taxonomy 未收录 Botryosphaeria zeae	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Botrytis cinerea	40559	fungi	Liang Y, Bi K, Sharon A. The Botrytis cinerea transglycosylase BcCrh4 is a cell death‐inducing protein with cell death‐promoting and‐suppressing domains[J]. Plant, cell & environment, 2024, 47(1): 354-371.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Ceratobasidium cereale (Rhizoctonia cerealis)	76351	fungi	Tomaso-Peterson M, Trevathan L E. Characterization of Rhizoctonia-like fungi isolated from agronomic crops and turfgrasses in Mississippi[J]. Plant disease, 2007, 91(3): 260-265.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Ceratocystis paradoxa/Thielaviopsis paradoxa	13001	fungi	Kumari M, Kamat S, Dixit R, et al. Microbial formulation approaches in postharvest disease management[M]//Food security and plant disease management. Woodhead Publishing, 2021: 279-305.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Cercospora sorghi var. maydis	161743	fungi	Crous P W, Groenewald J Z, Groenewald M, et al. Species of Cercospora associated with grey leaf spot of maize[J]. Studies in Mycology, 2006, 55(1): 189-197.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Cercospora zeae-maydis	135779	fungi	Ward J M J, Stromberg E L, Nowell D C, et al. Gray leaf spot: a disease of global importance in maize production[J]. Plant disease, 1999, 83(10): 884-895.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Cercospora zeina	348901	fungi	Liu K J, Xu X D. First report of gray leaf spot of maize caused by Cercospora zeina in China[J]. Plant Disease, 2013, 97(12): 1656-1656.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Cladosporium cladosporioides	29917	fungi	Price J L, Visagie C M, Meyer H, et al. Fungal species and mycotoxins associated with maize ear rots collected from the eastern Cape in South Africa. Toxins (Basel). 2024; 16 (2): 95[EB/OL]. 杜娟,郭洁蓓,胡佳,等.枝孢菌引致的玉米叶枯病研究[J].玉米科学,2025,33(6):115-121.DOI:10.13597/j.cnki.maize.science.20250616.	chinese_literature	10.13597/j.cnki.maize.science.20250616.		RESOLVED	
Cladosporium herbarum	29918	fungi	Crop Protection Network (2019). Cladosporium Ear Rot of Corn.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Claviceps gigantea	89175	fungi	Fuentes S F, De La Isla D L I, Maria De L M D L, et al. Claviceps gigantea, a new pathogen of Maize in Mexico[J]. 1964.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Colletotrichum graminicola /Glomerella graminicola	31870	fungi	Sukno S A, García V M, Shaw B D, et al. Root infection and systemic colonization of maize by Colletotrichum graminicola[J]. Applied and environmental microbiology, 2008, 74(3): 823-832.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia aeria / Curvularia lunata var. aeria	1203437	fungi	Garhwal P D, Sharma S S, Dahima V, et al. Physiopathological studies, characterization and yield loss assessment of Curvularia leaf spot of maize (Zea mays)[J]. 2022.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia australiensis	91365	fungi	Chang J Y, Zhang H J, Shi J, et al. First report of Curvularia australiensis causing leaf spot on maize (Zea mays) in China[J]. Plant Disease, 2016, 100(8): 1780-1780.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia clavata	95742	fungi	Mandokhot A M, Basu Chaudhary K C. A new leaf spot of maize incited by Curvularia clavata[J]. Netherlands Journal of Plant Pathology, 1972, 78(2): 65-68.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia eragrostidis	418125	fungi	KULKARNI S, WALI M C, HARLAPUR S I, et al. Etiology, prevalence and management of curvularia leaf spot of maize in Karnataka[J]. 2016.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia geniculata(Cochliobolus geniculatus)	418126	fungi	Manzar N, Kashyap A S, Sharma P K, et al. First report of leaf spot of maize caused by Curvularia geniculata in India[J]. Plant Disease, 2021, 105(12): 4155.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia inaequalis / Helminthosporium inaequale	38902	fungi	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia intermedia / Cochliobolus intermedius	95735	fungi	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia lunata (Cochliobolus lunatus)	5503	fungi	Gao S, Li Y, Gao J, et al. Genome sequence and virulence variation-related transcriptome profiles of Curvularia lunata, an important maize pathogenic fungus[J]. BMC genomics, 2014, 15(1): 627.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia pallescens	318706	fungi	Manzar N, Kashyap A S, Sharma P K, et al. First report of leaf spot on maize caused by Curvularia verruculosa in India[J]. Plant Disease, 2024, 108(3): 793.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia senegalensis / Brachysporium senegalense	215132	fungi	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Curvularia tuberculata / Cochliobolus tuberculatus	1056642	fungi	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Didymella exitialis / Neoascochyta exitialis	487631	fungi	王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Didymella maydis (Phyllosticta maydis)	259522	fungi	Arny D C, Nelson R R. Phyllosticta maydis species nova, the incitant of yellow leaf blight of maize[J]. Phytopathology, 1971, 61(10): 1170-72.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Epicoccum nigrum	105696	fungi	Xu X, Li J, Yang X, et al. Epicoccum spp. causing maize leaf spot in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(12): 3050-3060.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Epicoccum sorghinum/Phoma sorghina	749593	fungi	Do Amaral A L, Dal Soglio F K, De Carli M L, et al. Pathogenic fungi causing symptoms similar to Phaeosphaeria leaf spot of maize in Brazil[J]. Plant disease, 2005, 89(1): 44-49.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Eutiarosporella dactylidis	1608309	fungi	Guo C, Zhang X, Wang B, et al. Identification, pathogenicity, and fungicide sensitivity of Eutiarosporella dactylidis associated with leaf blight on maize in China[J]. Journal of Integrative Agriculture, 2024, 23(3): 888-900.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
