seqid	taxid	species	category	accession	length	n_count	ambiguous_count	ambiguous_bases	header_format_ok	marker_consistent	notes
MPDB000456	1182518	Mastrevirus bourbonense	viruses	KM230031.1	2882	0	0		True	True	
MPDB000457	1182518	Mastrevirus bourbonense	viruses	KT717933.1	2880	0	0		True	True	
MPDB000458	1182518	Mastrevirus bourbonense	viruses	MK329304.1	2879	0	0		True	True	
MPDB000459	1182518	Mastrevirus bourbonense	viruses	MK329305.1	2879	0	0		True	True	
MPDB000460	1182518	Mastrevirus bourbonense	viruses	MK546378.1	2880	0	1	Y	True	True	
MPDB000461	1182518	Mastrevirus bourbonense	viruses	NC_017917.1	2882	0	0		True	True	
MPDB000462	1182518	Mastrevirus bourbonense	viruses	PQ424983.1	2879	0	0		True	True	DUPLICATE_SEQUENCE_WITHIN_TAXID (n=2); identical sequences from independent GenBank records, retained
MPDB000463	1182518	Mastrevirus bourbonense	viruses	PQ424983.1	2879	0	0		True	True	DUPLICATE_SEQUENCE_WITHIN_TAXID (n=2); identical sequences from independent GenBank records, retained
MPDB000464	1182518	Mastrevirus bourbonense	viruses	PQ424984.1	2879	0	0		True	True	
MPDB000465	12138	Machlomovirus zeae	viruses	MK787304.1	4436	0	0		True	True	
MPDB000466	12138	Machlomovirus zeae	viruses	MN706213.1	4436	0	0		True	True	
MPDB000467	12138	Machlomovirus zeae	viruses	MN706214.1	4436	0	0		True	True	
MPDB000468	12138	Machlomovirus zeae	viruses	MN706215.1	4437	0	0		True	True	
MPDB000469	12138	Machlomovirus zeae	viruses	MN706216.1	4436	0	0		True	True	
MPDB000470	12138	Machlomovirus zeae	viruses	MN706217.1	4388	0	0		True	True	
MPDB000471	12138	Machlomovirus zeae	viruses	MN706218.1	4436	0	0		True	True	
MPDB000472	12138	Machlomovirus zeae	viruses	MN706219.1	4437	0	0		True	True	
MPDB000473	12138	Machlomovirus zeae	viruses	MN706220.1	4425	0	0		True	True	
MPDB000474	12138	Machlomovirus zeae	viruses	MN706221.1	4436	0	0		True	True	
MPDB000475	12138	Machlomovirus zeae	viruses	MN706222.1	4436	0	0		True	True	
MPDB000476	12138	Machlomovirus zeae	viruses	MN706223.1	4436	0	0		True	True	
MPDB000477	12138	Machlomovirus zeae	viruses	MN706224.1	4435	0	0		True	True	
MPDB000478	12138	Machlomovirus zeae	viruses	MN706225.1	4436	0	0		True	True	
MPDB000479	12138	Machlomovirus zeae	viruses	MN706226.1	4436	0	0		True	True	
MPDB000480	12138	Machlomovirus zeae	viruses	MN706227.1	4436	0	0		True	True	
MPDB000481	12138	Machlomovirus zeae	viruses	MN706228.1	4426	0	0		True	True	
MPDB000482	12138	Machlomovirus zeae	viruses	MN706229.1	4404	0	0		True	True	
MPDB000483	12138	Machlomovirus zeae	viruses	MN706230.1	4436	0	0		True	True	
MPDB000484	12138	Machlomovirus zeae	viruses	MN706231.1	4436	0	0		True	True	
MPDB000485	12138	Machlomovirus zeae	viruses	MN706235.1	4436	0	0		True	True	
MPDB000486	12138	Machlomovirus zeae	viruses	MN706236.1	4436	0	0		True	True	
MPDB000487	12138	Machlomovirus zeae	viruses	MN706237.1	4435	0	0		True	True	
MPDB000488	12138	Machlomovirus zeae	viruses	MN706238.1	4436	0	0		True	True	
MPDB000489	12138	Machlomovirus zeae	viruses	MN706239.1	4428	0	0		True	True	
MPDB000490	12138	Machlomovirus zeae	viruses	MN706240.1	4436	0	0		True	True	
MPDB000491	12138	Machlomovirus zeae	viruses	MN706241.1	4426	0	0		True	True	
MPDB000492	12138	Machlomovirus zeae	viruses	MN706242.1	4401	0	0		True	True	
MPDB000493	12138	Machlomovirus zeae	viruses	MN756483.1	4430	0	0		True	True	
MPDB000494	12138	Machlomovirus zeae	viruses	MN822301.1	4450	0	0		True	True	
MPDB000495	12138	Machlomovirus zeae	viruses	MN822302.1	4427	0	0		True	True	
MPDB000496	12138	Machlomovirus zeae	viruses	MN822303.1	4423	0	0		True	True	
MPDB000497	12138	Machlomovirus zeae	viruses	OK181780.1	4436	0	0		True	True	
MPDB000498	12138	Machlomovirus zeae	viruses	PV974307.1	4397	0	2	KR	True	True	
MPDB000499	12138	Machlomovirus zeae	viruses	PV974308.1	4394	0	7	KMRWY	True	True	
MPDB000500	12138	Machlomovirus zeae	viruses	PV974309.1	4395	0	1	R	True	True	
MPDB000501	12138	Machlomovirus zeae	viruses	PV974310.1	4377	0	0		True	True	
MPDB000502	12138	Machlomovirus zeae	viruses	PV974311.1	4390	0	4	SWY	True	True	
MPDB000503	12138	Machlomovirus zeae	viruses	PV974312.1	4391	0	16	KMRSWY	True	True	
MPDB000504	12138	Machlomovirus zeae	viruses	PV974313.1	4393	0	2	RY	True	True	
MPDB000505	12138	Machlomovirus zeae	viruses	PV974318.1	4393	0	13	MRSY	True	True	
MPDB000506	12138	Machlomovirus zeae	viruses	PV974319.1	4393	0	14	KMRWY	True	True	
MPDB000507	12138	Machlomovirus zeae	viruses	PZ270488.1	4436	0	0		True	True	
MPDB000508	12203	Potyvirus zeananus	viruses	JQ280313.1	9499	0	0		True	True	
MPDB000509	12203	Potyvirus zeananus	viruses	JQ403608.1	9458	0	0		True	True	
MPDB000510	12203	Potyvirus zeananus	viruses	JQ403609.2	9402	0	136	KMRWY	True	True	
MPDB000511	12203	Potyvirus zeananus	viruses	JX185302.2	9526	0	83	KMRSWY	True	True	
MPDB000512	12203	Potyvirus zeananus	viruses	MK282423.1	9563	0	0		True	True	
MPDB000513	12203	Potyvirus zeananus	viruses	MN615724.1	9538	0	0		True	True	
MPDB000514	12203	Potyvirus zeananus	viruses	MW026050.1	9225	0	0		True	True	
MPDB000515	12203	Potyvirus zeananus	viruses	MW026051.1	9497	0	0		True	True	
MPDB000516	12203	Potyvirus zeananus	viruses	MW026052.1	9450	0	0		True	True	
MPDB000517	12203	Potyvirus zeananus	viruses	MW026053.1	9491	0	0		True	True	
MPDB000518	12203	Potyvirus zeananus	viruses	MW026054.1	9394	0	0		True	True	
MPDB000519	12203	Potyvirus zeananus	viruses	MW026055.1	9415	0	0		True	True	
MPDB000520	12203	Potyvirus zeananus	viruses	MW026056.1	9413	0	0		True	True	
MPDB000521	12203	Potyvirus zeananus	viruses	MW026057.1	9204	0	0		True	True	
MPDB000522	12203	Potyvirus zeananus	viruses	MW026058.1	9444	0	0		True	True	
MPDB000523	12203	Potyvirus zeananus	viruses	MW026059.1	9430	0	0		True	True	
MPDB000524	12203	Potyvirus zeananus	viruses	MW026060.1	9461	0	0		True	True	
MPDB000525	12203	Potyvirus zeananus	viruses	MW026061.1	9454	0	0		True	True	
MPDB000526	12203	Potyvirus zeananus	viruses	MW026062.1	9391	0	0		True	True	
MPDB000527	12203	Potyvirus zeananus	viruses	MW026063.1	9372	0	0		True	True	
MPDB000528	12203	Potyvirus zeananus	viruses	MW026064.1	9431	0	0		True	True	
MPDB000529	12203	Potyvirus zeananus	viruses	MW026065.1	9395	0	0		True	True	
MPDB000530	12203	Potyvirus zeananus	viruses	MW026066.1	9440	0	0		True	True	
MPDB000531	12203	Potyvirus zeananus	viruses	NC_003377.1	9515	0	0		True	True	
MPDB000532	12203	Potyvirus zeananus	viruses	ON604838.1	9499	0	0		True	True	
MPDB000533	12203	Potyvirus zeananus	viruses	OQ060498.1	9610	0	0		True	True	
MPDB000534	12203	Potyvirus zeananus	viruses	OQ236070.1	9514	0	0		True	True	
MPDB000535	12224	Potyvirus sacchari	viruses	KU171814.1	9575	0	0		True	True	
MPDB000536	12224	Potyvirus sacchari	viruses	KU171815.1	9576	0	0		True	True	
MPDB000537	12224	Potyvirus sacchari	viruses	KU171816.1	9576	0	0		True	True	
MPDB000538	12224	Potyvirus sacchari	viruses	KU171817.1	9598	0	0		True	True	
MPDB000539	12224	Potyvirus sacchari	viruses	MF467393.1	9520	0	0		True	True	
MPDB000540	12224	Potyvirus sacchari	viruses	MF467394.1	9522	0	0		True	True	
MPDB000541	12224	Potyvirus sacchari	viruses	MF467395.1	9511	0	0		True	True	
MPDB000542	12224	Potyvirus sacchari	viruses	MF467396.1	9487	0	0		True	True	
MPDB000543	12224	Potyvirus sacchari	viruses	MF467397.1	9520	0	0		True	True	
MPDB000544	12224	Potyvirus sacchari	viruses	MF467398.1	9482	0	0		True	True	
MPDB000545	12224	Potyvirus sacchari	viruses	MF467399.1	9491	0	0		True	True	
MPDB000546	12224	Potyvirus sacchari	viruses	MF467400.1	9575	0	0		True	True	
MPDB000547	12224	Potyvirus sacchari	viruses	MF467401.1	9492	0	0		True	True	
MPDB000548	12224	Potyvirus sacchari	viruses	MF467402.1	9484	0	0		True	True	
MPDB000549	12224	Potyvirus sacchari	viruses	MF467403.1	9527	0	0		True	True	
MPDB000550	12224	Potyvirus sacchari	viruses	MF467404.1	9494	0	0		True	True	
MPDB000551	12224	Potyvirus sacchari	viruses	MH580837.1	9539	0	0		True	True	
MPDB000552	12224	Potyvirus sacchari	viruses	MN097767.1	9509	0	0		True	True	
MPDB000553	12224	Potyvirus sacchari	viruses	MN097768.1	9545	0	0		True	True	
MPDB000554	12224	Potyvirus sacchari	viruses	MN097769.1	9536	0	0		True	True	
MPDB000555	12224	Potyvirus sacchari	viruses	MN203189.1	9530	0	0		True	True	
MPDB000556	12224	Potyvirus sacchari	viruses	MN714644.1	9535	0	0		True	True	
MPDB000557	12224	Potyvirus sacchari	viruses	MN756484.1	9575	0	0		True	True	
MPDB000558	12224	Potyvirus sacchari	viruses	MN759251.1	9509	0	0		True	True	
MPDB000559	12224	Potyvirus sacchari	viruses	MN788498.1	9587	0	0		True	True	
MPDB000560	12224	Potyvirus sacchari	viruses	MN795295.1	9580	0	0		True	True	
MPDB000561	12224	Potyvirus sacchari	viruses	MN813966.1	9584	0	0		True	True	
MPDB000562	12224	Potyvirus sacchari	viruses	MN813967.1	9590	0	0		True	True	
MPDB000563	12224	Potyvirus sacchari	viruses	MW248339.1	9588	0	0		True	True	
MPDB000564	12224	Potyvirus sacchari	viruses	OP150408.1	9596	0	0		True	True	
MPDB000565	12224	Potyvirus sacchari	viruses	OP150410.1	9596	0	0		True	True	
MPDB000566	12224	Potyvirus sacchari	viruses	OQ060499.1	9591	0	0		True	True	
MPDB000567	12224	Potyvirus sacchari	viruses	OQ446805.1	9620	0	0		True	True	
MPDB000568	12224	Potyvirus sacchari	viruses	OQ948124.1	9574	0	0		True	True	
MPDB000569	12224	Potyvirus sacchari	viruses	PP130177.1	9616	0	1	Y	True	True	
MPDB000570	12224	Potyvirus sacchari	viruses	PP130178.1	9609	2	3	RY	True	True	
MPDB000571	12224	Potyvirus sacchari	viruses	PV021393.1	9557	0	0		True	True	
MPDB000572	12224	Potyvirus sacchari	viruses	PV974322.1	9558	0	12	MRWY	True	True	
MPDB000573	12224	Potyvirus sacchari	viruses	PV974323.1	9561	0	7	KRWY	True	True	
MPDB000574	12224	Potyvirus sacchari	viruses	PV974327.1	9570	0	5	MRY	True	True	
MPDB000575	12224	Potyvirus sacchari	viruses	PV974337.1	9604	0	2	WY	True	True	
MPDB000576	12224	Potyvirus sacchari	viruses	PV974339.1	9563	0	2	R	True	True	
MPDB000577	12224	Potyvirus sacchari	viruses	PV974340.1	9577	1	10	MRSW	True	True	
MPDB000578	12302	Bromovirus BMV	viruses	PV173122.1	2867	0	0		True	True	
MPDB000579	12302	Bromovirus BMV	viruses	PV173123.1	3234	0	0		True	True	
MPDB000580	12302	Bromovirus BMV	viruses	PV173124.1	2109	0	0		True	True	
MPDB000581	12305	Cucumovirus CMV	viruses	HG917909.1	3389	0	0		True	True	
MPDB000582	12305	Cucumovirus CMV	viruses	HG917910.1	2204	0	0		True	True	
MPDB000583	12305	Cucumovirus CMV	viruses	HG917911.1	3038	0	0		True	True	
MPDB000584	12305	Cucumovirus CMV	viruses	PZ447433.1	3354	0	0		True	True	
MPDB000585	12305	Cucumovirus CMV	viruses	PZ447434.1	3045	0	0		True	True	
MPDB000586	12305	Cucumovirus CMV	viruses	PZ447435.1	2202	0	0		True	True	
MPDB000587	12327	Hordeivirus hordei	viruses	ON924210.1	3511	0	0		True	True	
MPDB000588	12327	Hordeivirus hordei	viruses	ON924211.1	2984	0	0		True	True	
MPDB000589	12327	Hordeivirus hordei	viruses	ON924212.1	2542	0	0		True	True	
MPDB000590	137556	Zeavirus zeae	viruses	NC_007729.1	4094	0	0		True	True	DUPLICATE_SEQUENCE_WITHIN_TAXID (n=2); identical sequences from independent GenBank records, retained
MPDB000591	137556	Zeavirus zeae	viruses	NC_007729.1	4094	0	0		True	True	DUPLICATE_SEQUENCE_WITHIN_TAXID (n=2); identical sequences from independent GenBank records, retained
MPDB000592	1756285	Totivirus jyukyu	viruses	MW063115.1	4988	0	0		True	True	
MPDB000593	1756285	Totivirus jyukyu	viruses	MW063116.1	5563	0	0		True	True	
MPDB000594	1756285	Totivirus jyukyu	viruses	OQ953827.1	4891	72	0		True	True	
MPDB000595	1856642	Polerovirus MAYMV	viruses	KU179221.1	5634	0	0		True	True	
MPDB000596	1856642	Polerovirus MAYMV	viruses	KU248490.1	5635	0	0		True	True	
MPDB000597	1856642	Polerovirus MAYMV	viruses	KU291099.1	5563	0	0		True	True	
MPDB000598	1856642	Polerovirus MAYMV	viruses	KU291100.1	5641	0	0		True	True	
MPDB000599	1856642	Polerovirus MAYMV	viruses	KU291101.1	5635	0	0		True	True	
MPDB000600	1856642	Polerovirus MAYMV	viruses	KU291102.1	5646	0	0		True	True	
MPDB000601	1856642	Polerovirus MAYMV	viruses	KU291103.1	5644	0	0		True	True	
MPDB000602	1856642	Polerovirus MAYMV	viruses	KU291104.1	5642	0	0		True	True	
MPDB000603	1856642	Polerovirus MAYMV	viruses	KU291105.1	5624	0	0		True	True	
MPDB000604	1856642	Polerovirus MAYMV	viruses	KU291106.1	5604	0	0		True	True	
MPDB000605	1856642	Polerovirus MAYMV	viruses	KU291107.1	5646	0	0		True	True	
MPDB000606	1856642	Polerovirus MAYMV	viruses	KU291108.1	5637	0	0		True	True	
MPDB000607	1856642	Polerovirus MAYMV	viruses	KY378940.1	5642	0	0		True	True	
MPDB000608	1856642	Polerovirus MAYMV	viruses	KY940544.1	5637	0	0		True	True	
MPDB000609	1856642	Polerovirus MAYMV	viruses	MF385583.1	5642	0	0		True	True	
MPDB000610	1856642	Polerovirus MAYMV	viruses	MF684369.1	5642	0	0		True	True	
MPDB000611	1856642	Polerovirus MAYMV	viruses	MG570476.1	5642	0	0		True	True	
MPDB000612	1856642	Polerovirus MAYMV	viruses	MK652148.1	5642	0	0		True	True	
MPDB000613	1856642	Polerovirus MAYMV	viruses	MK652149.1	5642	0	0		True	True	
MPDB000614	1856642	Polerovirus MAYMV	viruses	MK652150.1	5642	0	0		True	True	
MPDB000615	1856642	Polerovirus MAYMV	viruses	MN943641.1	5644	0	0		True	True	
MPDB000616	1856642	Polerovirus MAYMV	viruses	MT809617.1	5641	0	0		True	True	
MPDB000617	1856642	Polerovirus MAYMV	viruses	MW036244.1	5641	0	0		True	True	
MPDB000618	1856642	Polerovirus MAYMV	viruses	NC_029990.1	5625	0	0		True	True	
MPDB000619	1856642	Polerovirus MAYMV	viruses	NC_075108.1	5642	0	0		True	True	
MPDB000620	1856642	Polerovirus MAYMV	viruses	OK331995.1	5642	0	0		True	True	
MPDB000621	1856642	Polerovirus MAYMV	viruses	PP294862.1	5642	0	0		True	True	
MPDB000622	1856642	Polerovirus MAYMV	viruses	PQ231203.1	5642	0	0		True	True	
MPDB000623	1856642	Polerovirus MAYMV	viruses	PV974293.1	5599	0	29	KMRWY	True	True	
MPDB000624	1856642	Polerovirus MAYMV	viruses	PV974294.1	5596	0	22	KMRWY	True	True	
MPDB000625	1856642	Polerovirus MAYMV	viruses	PV974295.1	5593	0	32	KMRWY	True	True	
MPDB000626	1856642	Polerovirus MAYMV	viruses	PV974296.1	5593	0	5	RSY	True	True	
MPDB000627	1856642	Polerovirus MAYMV	viruses	PV974297.1	5601	3	78	KMRWY	True	True	
MPDB000628	1856642	Polerovirus MAYMV	viruses	PV974298.1	5596	0	1	M	True	True	
MPDB000629	1856642	Polerovirus MAYMV	viruses	PV974299.1	5606	6	48	KMRWY	True	True	
MPDB000630	1856642	Polerovirus MAYMV	viruses	PV974300.1	5599	0	42	KMRSWY	True	True	
MPDB000631	1856642	Polerovirus MAYMV	viruses	PV974301.1	5599	0	3	RW	True	True	
MPDB000632	1856642	Polerovirus MAYMV	viruses	PV974305.1	5613	1	45	KMRSWY	True	True	
MPDB000633	1856642	Polerovirus MAYMV	viruses	PV974306.1	5596	1	4	RWY	True	True	
MPDB000634	1856642	Polerovirus MAYMV	viruses	PX412243.1	5606	0	0		True	True	
MPDB000635	185954	Fijivirus cuartoense	viruses	NC_008734.1	1798	0	0		True	True	
MPDB000636	185954	Fijivirus cuartoense	viruses	NC_008735.1	3162	0	0		True	True	
MPDB000637	185954	Fijivirus cuartoense	viruses	NC_008736.1	2186	0	0		True	True	
MPDB000638	185954	Fijivirus cuartoense	viruses	NC_008737.1	1870	0	0		True	True	
MPDB000639	1980428	Emaravirus tritici	viruses	PZ410477.1	6990	0	0		True	True	
MPDB000640	1980428	Emaravirus tritici	viruses	PZ410478.1	6990	0	0		True	True	
MPDB000641	1980428	Emaravirus tritici	viruses	PZ410479.1	6990	0	0		True	True	
MPDB000642	209854	Gammanucleorhabdovirus maydis	viruses	NC_005974.1	13782	0	0		True	True	DUPLICATE_SEQUENCE_WITHIN_TAXID (n=2); identical sequences from independent GenBank records, retained
MPDB000643	209854	Gammanucleorhabdovirus maydis	viruses	NC_005974.1	13782	0	0		True	True	DUPLICATE_SEQUENCE_WITHIN_TAXID (n=2); identical sequences from independent GenBank records, retained
MPDB000644	2169984	Luteovirus mavhordei	viruses	NC_003680.1	5273	0	0		True	True	
MPDB000645	2169984	Luteovirus mavhordei	viruses	OQ686648.1	5694	0	43	KMRSWY	True	True	
MPDB000646	2169984	Luteovirus mavhordei	viruses	OQ686649.1	5694	8	18	KMRWY	True	True	
MPDB000647	2169984	Luteovirus mavhordei	viruses	OQ686650.1	5694	3	18	KRWY	True	True	
MPDB000648	2169984	Luteovirus mavhordei	viruses	OQ686651.1	5687	1	33	KMRSWY	True	True	
MPDB000649	2169984	Luteovirus mavhordei	viruses	OQ686652.1	5700	10	33	KMRSWY	True	True	
MPDB000650	2169984	Luteovirus mavhordei	viruses	OQ686653.1	5668	0	10	MRWY	True	True	
MPDB000651	2169984	Luteovirus mavhordei	viruses	OQ686654.1	5694	18	24	BKMRWY	True	True	
MPDB000652	2169984	Luteovirus mavhordei	viruses	OQ686655.1	5693	1	40	KMRSWY	True	True	
MPDB000653	2169984	Luteovirus mavhordei	viruses	OQ686656.1	5661	10	1	R	True	True	
MPDB000654	2169984	Luteovirus mavhordei	viruses	OQ686657.1	5702	12	40	KMRSWY	True	True	
MPDB000655	2169984	Luteovirus mavhordei	viruses	OQ686658.1	5693	0	28	KRSWY	True	True	
MPDB000656	2169984	Luteovirus mavhordei	viruses	OQ686659.1	5692	17	31	KMRSWY	True	True	
MPDB000657	2169984	Luteovirus mavhordei	viruses	OQ686660.1	5690	1	39	KMRSWY	True	True	
MPDB000658	2169984	Luteovirus mavhordei	viruses	OQ686661.1	5693	1	20	KMRSWY	True	True	
MPDB000659	2169984	Luteovirus mavhordei	viruses	OQ686662.1	5692	0	52	KMRSWY	True	True	
MPDB000660	2169984	Luteovirus mavhordei	viruses	OQ686663.1	5686	3	12	KRSWY	True	True	
MPDB000661	2169984	Luteovirus mavhordei	viruses	OQ686664.1	5696	0	57	KMRSWY	True	True	
MPDB000662	2169984	Luteovirus mavhordei	viruses	OQ686665.1	5657	0	8	RWY	True	True	
MPDB000663	2169984	Luteovirus mavhordei	viruses	OQ686666.1	5685	0	11	KRWY	True	True	
MPDB000664	2169984	Luteovirus mavhordei	viruses	OQ686667.1	5688	2	2	MW	True	True	
MPDB000665	2169984	Luteovirus mavhordei	viruses	OQ686668.1	5694	1	20	KMRWY	True	True	
MPDB000666	2169984	Luteovirus mavhordei	viruses	OQ686669.1	5702	16	41	KMRSWY	True	True	
MPDB000667	2169984	Luteovirus mavhordei	viruses	OQ686670.1	5686	0	30	KMRSWY	True	True	
MPDB000668	2169984	Luteovirus mavhordei	viruses	OQ686671.1	5694	6	72	KMRSWY	True	True	
MPDB000669	2169984	Luteovirus mavhordei	viruses	OQ686672.1	5688	0	21	MRSWY	True	True	
MPDB000670	2169984	Luteovirus mavhordei	viruses	OQ686673.1	5694	13	15	MRSWY	True	True	
MPDB000671	2169984	Luteovirus mavhordei	viruses	OQ686674.1	5685	0	29	MRSWY	True	True	
MPDB000672	2169984	Luteovirus mavhordei	viruses	OQ686675.1	5694	0	37	KMRSWY	True	True	
MPDB000673	2169984	Luteovirus mavhordei	viruses	OQ686676.1	5692	3	30	KMRWY	True	True	
MPDB000674	2169984	Luteovirus mavhordei	viruses	OQ686677.1	5694	0	35	KMRSWY	True	True	
MPDB000675	2169984	Luteovirus mavhordei	viruses	OQ686678.1	5689	0	18	KMRWY	True	True	
MPDB000676	2169984	Luteovirus mavhordei	viruses	OQ686679.1	5694	1	32	KMRSWY	True	True	
MPDB000677	2169984	Luteovirus mavhordei	viruses	OQ686680.1	5694	3	38	KMRSWY	True	True	
MPDB000678	2169984	Luteovirus mavhordei	viruses	OQ686681.1	5694	0	72	KMRSWY	True	True	
MPDB000679	2169984	Luteovirus mavhordei	viruses	OR771729.1	5688	72	16	RWY	True	True	
MPDB000680	2169984	Luteovirus mavhordei	viruses	PV978102.1	5574	0	3	RY	True	True	
MPDB000681	2169984	Luteovirus mavhordei	viruses	PV978103.1	5564	0	1	Y	True	True	
MPDB000682	2169984	Luteovirus mavhordei	viruses	PV978104.1	5846	0	0		True	True	
MPDB000683	2170101	Polerovirus MYDVRMV	viruses	MF974579.2	5641	0	0		True	True	
MPDB000684	2170101	Polerovirus MYDVRMV	viruses	MH205607.1	5641	0	0		True	True	
MPDB000685	2170101	Polerovirus MYDVRMV	viruses	NC_021484.1	5612	0	0		True	True	
MPDB000686	221262	Potyvirus pennisseti	viruses	DQ977725.1	9611	0	0		True	True	
MPDB000687	221262	Potyvirus pennisseti	viruses	JX070139.1	9613	0	0		True	True	
MPDB000688	221262	Potyvirus pennisseti	viruses	JX070140.1	9613	0	0		True	True	
MPDB000689	221262	Potyvirus pennisseti	viruses	JX070141.1	9613	0	0		True	True	
MPDB000690	221262	Potyvirus pennisseti	viruses	JX070142.1	9613	0	0		True	True	
MPDB000691	221262	Potyvirus pennisseti	viruses	JX070143.1	9613	0	0		True	True	
MPDB000692	221262	Potyvirus pennisseti	viruses	JX070144.1	9613	0	0		True	True	
MPDB000693	221262	Potyvirus pennisseti	viruses	JX070145.1	9613	0	0		True	True	
MPDB000694	221262	Potyvirus pennisseti	viruses	JX070146.1	9613	0	0		True	True	
MPDB000695	221262	Potyvirus pennisseti	viruses	JX070147.1	9613	0	0		True	True	
