seqid	taxid	species	category	accession	source_length	marker_length	length	gc_percent	marker_region	extraction_method
MPDB000015	1408	Bacillus pumilus	bacteria	LN890660.1	902	890	890	55.6180	16S rRNA	barrnap-coordinate-extraction
MPDB000016	1408	Bacillus pumilus	bacteria	LN995758.1	1012	1012	1012	52.0751	16S rRNA partial	marker-only-record-retained
MPDB000017	1408	Bacillus pumilus	bacteria	LN997932.1	1365	1364	1364	54.8387	16S rRNA	barrnap-coordinate-extraction
MPDB000018	1408	Bacillus pumilus	bacteria	LR215095.1	1313	1310	1310	54.5802	16S rRNA	barrnap-coordinate-extraction
MPDB000019	1408	Bacillus pumilus	bacteria	LR535757.1	1388	1365	1365	54.7253	16S rRNA	barrnap-coordinate-extraction
MPDB000020	1408	Bacillus pumilus	bacteria	LR535759.1	1402	1374	1374	54.8035	16S rRNA	barrnap-coordinate-extraction
MPDB000021	1408	Bacillus pumilus	bacteria	LR535772.1	1402	1376	1376	54.7238	16S rRNA	barrnap-coordinate-extraction
MPDB000022	1408	Bacillus pumilus	bacteria	LR535793.1	1420	1414	1414	54.7383	16S rRNA	barrnap-coordinate-extraction
MPDB000023	1408	Bacillus pumilus	bacteria	LS991397.1	807	805	805	53.2919	16S rRNA	barrnap-coordinate-extraction
MPDB000024	1408	Bacillus pumilus	bacteria	LT221146.1	1061	1058	1058	55.4820	16S rRNA	barrnap-coordinate-extraction
MPDB000025	1408	Bacillus pumilus	bacteria	LT221259.1	1008	1007	1007	55.3128	16S rRNA	barrnap-coordinate-extraction
MPDB000026	1408	Bacillus pumilus	bacteria	LT617072.1	1311	1308	1308	54.6636	16S rRNA	barrnap-coordinate-extraction
MPDB000027	1408	Bacillus pumilus	bacteria	LT617079.1	1290	1262	1262	54.3582	16S rRNA	barrnap-coordinate-extraction
MPDB000028	1408	Bacillus pumilus	bacteria	LT617087.1	1292	1291	1291	54.7637	16S rRNA	barrnap-coordinate-extraction
MPDB000029	1408	Bacillus pumilus	bacteria	LT635531.1	479	452	452	55.3097	16S rRNA	barrnap-coordinate-extraction
MPDB000030	1408	Bacillus pumilus	bacteria	LT635532.1	330	330	330	57.2727	16S rRNA partial	marker-only-record-retained
MPDB000031	1408	Bacillus pumilus	bacteria	LT635536.1	976	970	970	55.3608	16S rRNA	barrnap-coordinate-extraction
MPDB000032	1408	Bacillus pumilus	bacteria	LT797521.1	1346	1342	1342	54.6945	16S rRNA	barrnap-coordinate-extraction
MPDB000033	1408	Bacillus pumilus	bacteria	LT797528.1	1441	1432	1432	55.0978	16S rRNA	barrnap-coordinate-extraction
MPDB000034	1408	Bacillus pumilus	bacteria	LT844637.1	1097	1026	1026	54.3860	16S rRNA	barrnap-coordinate-extraction
MPDB000035	1408	Bacillus pumilus	bacteria	LT969592.1	976	967	967	55.1189	16S rRNA	barrnap-coordinate-extraction
MPDB000036	1408	Bacillus pumilus	bacteria	LT969725.1	867	846	846	54.9645	16S rRNA	barrnap-coordinate-extraction
MPDB000037	1408	Bacillus pumilus	bacteria	LT978407.1	1084	1080	1080	55.0926	16S rRNA	barrnap-coordinate-extraction
MPDB000038	1408	Bacillus pumilus	bacteria	LT984707.1	405	400	400	54.0201	16S rRNA	barrnap-coordinate-extraction
MPDB000039	1408	Bacillus pumilus	bacteria	LT986210.1	1392	1384	1384	54.9133	16S rRNA	barrnap-coordinate-extraction
MPDB000040	1408	Bacillus pumilus	bacteria	LT986212.1	1410	1402	1402	54.9929	16S rRNA	barrnap-coordinate-extraction
MPDB000041	1408	Bacillus pumilus	bacteria	LT986213.1	1392	1382	1382	54.9204	16S rRNA	barrnap-coordinate-extraction
MPDB000042	1408	Bacillus pumilus	bacteria	LT986222.1	1393	1384	1384	54.9133	16S rRNA	barrnap-coordinate-extraction
MPDB000043	1408	Bacillus pumilus	bacteria	LT986225.1	1393	1386	1386	54.9062	16S rRNA	barrnap-coordinate-extraction
MPDB000044	169669	Pseudomonas extremorientalis	bacteria	LC654276.1	1382	1363	1363	53.0448	16S rRNA	barrnap-coordinate-extraction
MPDB000045	169669	Pseudomonas extremorientalis	bacteria	LK985437.1	523	523	523	53.3461	16S rRNA	barrnap-coordinate-extraction
MPDB000046	169669	Pseudomonas extremorientalis	bacteria	LN997963.1	722	720	720	52.5000	16S rRNA	barrnap-coordinate-extraction
MPDB000047	204038	Dickeya dadantii	bacteria	AB713534.1	1370	1364	1364	55.3519	16S rRNA	barrnap-coordinate-extraction
MPDB000048	204038	Dickeya dadantii	bacteria	AB713543.1	1370	1364	1364	55.4985	16S rRNA	barrnap-coordinate-extraction
MPDB000049	204038	Dickeya dadantii	bacteria	AB713545.1	1371	1365	1365	55.3114	16S rRNA	barrnap-coordinate-extraction
MPDB000050	204038	Dickeya dadantii	bacteria	AB713563.1	1370	1368	1368	55.4094	16S rRNA	barrnap-coordinate-extraction
MPDB000051	204038	Dickeya dadantii	bacteria	AB713572.1	1370	1364	1364	55.2786	16S rRNA	barrnap-coordinate-extraction
MPDB000052	204038	Dickeya dadantii	bacteria	AB744145.1	1363	1361	1361	56.2821	16S rRNA	barrnap-coordinate-extraction
MPDB000053	204038	Dickeya dadantii	bacteria	AB744146.1	1362	1360	1360	55.9559	16S rRNA	barrnap-coordinate-extraction
MPDB000054	204038	Dickeya dadantii	bacteria	AB744147.1	1363	1361	1361	56.1352	16S rRNA	barrnap-coordinate-extraction
MPDB000055	204038	Dickeya dadantii	bacteria	AB744148.1	1363	1361	1361	56.1352	16S rRNA	barrnap-coordinate-extraction
MPDB000056	204038	Dickeya dadantii	bacteria	LC490701.1	463	459	459	56.2092	16S rRNA	barrnap-coordinate-extraction
MPDB000057	204038	Dickeya dadantii	bacteria	LC490705.1	462	458	458	55.8952	16S rRNA	barrnap-coordinate-extraction
MPDB000058	204038	Dickeya dadantii	bacteria	LC490710.1	462	458	458	56.1135	16S rRNA	barrnap-coordinate-extraction
MPDB000059	204038	Dickeya dadantii	bacteria	LC490711.1	462	458	458	55.8952	16S rRNA	barrnap-coordinate-extraction
MPDB000060	204042	Dickeya zeae	bacteria	AB713536.1	1371	1357	1357	54.9005	16S rRNA	barrnap-coordinate-extraction
MPDB000061	204042	Dickeya zeae	bacteria	AB713546.1	1370	1364	1364	55.0587	16S rRNA	barrnap-coordinate-extraction
MPDB000062	204042	Dickeya zeae	bacteria	AB713548.1	1372	1358	1358	54.7128	16S rRNA	barrnap-coordinate-extraction
MPDB000063	204042	Dickeya zeae	bacteria	AB713553.1	1371	1365	1365	54.9451	16S rRNA	barrnap-coordinate-extraction
MPDB000064	204042	Dickeya zeae	bacteria	AB713560.1	1370	1364	1364	54.9120	16S rRNA	barrnap-coordinate-extraction
MPDB000065	204042	Dickeya zeae	bacteria	AB713565.1	1372	1366	1366	55.0512	16S rRNA	barrnap-coordinate-extraction
MPDB000066	204042	Dickeya zeae	bacteria	AB744152.1	1363	1361	1361	55.3270	16S rRNA	barrnap-coordinate-extraction
MPDB000067	28092	Robbsia andropogonis	bacteria	AB021422.1	1449	1448	1448	54.7718	16S rRNA	barrnap-coordinate-extraction
MPDB000068	28092	Robbsia andropogonis	bacteria	AB744701.1	1458	1456	1456	55.1273	16S rRNA	barrnap-coordinate-extraction
MPDB000069	28092	Robbsia andropogonis	bacteria	AM392339.1	413	410	410	53.1707	16S rRNA	barrnap-coordinate-extraction
MPDB000070	28092	Robbsia andropogonis	bacteria	AM392350.1	414	412	412	53.3981	16S rRNA	barrnap-coordinate-extraction
MPDB000071	28092	Robbsia andropogonis	bacteria	AM502984.1	1340	1332	1332	54.7297	16S rRNA	barrnap-coordinate-extraction
MPDB000072	28092	Robbsia andropogonis	bacteria	LC507981.1	1453	1450	1450	55.1724	16S rRNA	barrnap-coordinate-extraction
MPDB000073	28095	Burkholderia gladioli	bacteria	AB012916.1	1484	1478	1478	54.6685	16S rRNA	barrnap-coordinate-extraction
MPDB000074	28095	Burkholderia gladioli	bacteria	AB013111.1	1499	1498	1498	55.0637	16S rRNA	barrnap-coordinate-extraction
MPDB000075	28095	Burkholderia gladioli	bacteria	AB021384.1	1509	1509	1509	55.3405	16S rRNA	barrnap-coordinate-extraction
MPDB000076	28095	Burkholderia gladioli	bacteria	AB021389.1	1498	1497	1497	55.2349	16S rRNA	barrnap-coordinate-extraction
MPDB000077	28095	Burkholderia gladioli	bacteria	AB024491.1	1522	1522	1522	54.9045	16S rRNA	barrnap-coordinate-extraction
MPDB000078	28095	Burkholderia gladioli	bacteria	AB680484.1	1458	1457	1457	55.0824	16S rRNA	barrnap-coordinate-extraction
MPDB000079	28095	Burkholderia gladioli	bacteria	AH004175.2	1443	969	969	54.4606	16S rRNA	barrnap-coordinate-extraction
MPDB000080	28095	Burkholderia gladioli	bacteria	D13060.1	157	157	157	56.0510	16S rRNA partial	marker-only-record-retained
MPDB000081	28095	Burkholderia gladioli	bacteria	L28156.1	770	770	770	51.8905	16S rRNA partial	marker-only-record-retained
MPDB000082	28095	Burkholderia gladioli	bacteria	L28157.1	737	737	737	51.0899	16S rRNA partial	marker-only-record-retained
MPDB000083	28095	Burkholderia gladioli	bacteria	LC792307.1	1400	1365	1365	54.8718	16S rRNA	barrnap-coordinate-extraction
MPDB000084	28095	Burkholderia gladioli	bacteria	LC792308.1	1401	1396	1396	55.1576	16S rRNA	barrnap-coordinate-extraction
MPDB000085	28095	Burkholderia gladioli	bacteria	LT547718.1	1372	1350	1350	54.8148	16S rRNA	barrnap-coordinate-extraction
MPDB000087	287	Pseudomonas aeruginosa	bacteria	LC815917.1	808	801	801	53.9326	16S rRNA	barrnap-coordinate-extraction
MPDB000088	287	Pseudomonas aeruginosa	bacteria	LC815921.1	809	802	802	53.8653	16S rRNA	barrnap-coordinate-extraction
MPDB000089	287	Pseudomonas aeruginosa	bacteria	LC816373.1	1351	1343	1343	53.9092	16S rRNA	barrnap-coordinate-extraction
MPDB000090	287	Pseudomonas aeruginosa	bacteria	LC816374.1	1344	1338	1338	54.1106	16S rRNA	barrnap-coordinate-extraction
MPDB000091	287	Pseudomonas aeruginosa	bacteria	LC816375.1	1365	1357	1357	54.0162	16S rRNA	barrnap-coordinate-extraction
MPDB000092	287	Pseudomonas aeruginosa	bacteria	LC816376.1	1364	1357	1357	54.0162	16S rRNA	barrnap-coordinate-extraction
MPDB000093	287	Pseudomonas aeruginosa	bacteria	LC816377.1	1366	1358	1358	54.0501	16S rRNA	barrnap-coordinate-extraction
MPDB000094	287	Pseudomonas aeruginosa	bacteria	LC816378.1	1330	1323	1323	54.0438	16S rRNA	barrnap-coordinate-extraction
MPDB000095	287	Pseudomonas aeruginosa	bacteria	LC816379.1	1355	1347	1347	54.0460	16S rRNA	barrnap-coordinate-extraction
MPDB000096	287	Pseudomonas aeruginosa	bacteria	LC816380.1	1311	1305	1305	53.9464	16S rRNA	barrnap-coordinate-extraction
MPDB000097	287	Pseudomonas aeruginosa	bacteria	LC816381.1	1350	1342	1342	54.0984	16S rRNA	barrnap-coordinate-extraction
MPDB000098	287	Pseudomonas aeruginosa	bacteria	LC816382.1	1324	1317	1317	53.9863	16S rRNA	barrnap-coordinate-extraction
MPDB000099	287	Pseudomonas aeruginosa	bacteria	LC834139.1	290	290	290	55.5172	16S rRNA partial	marker-only-record-retained
MPDB000100	287	Pseudomonas aeruginosa	bacteria	LC836059.1	1227	1227	1227	54.4417	16S rRNA	barrnap-coordinate-extraction
MPDB000101	287	Pseudomonas aeruginosa	bacteria	LC843372.1	660	660	660	49.4673	16S rRNA partial	marker-only-record-retained
MPDB000102	287	Pseudomonas aeruginosa	bacteria	LC875561.1	1479	1479	1479	54.2934	16S rRNA	barrnap-coordinate-extraction
MPDB000103	287	Pseudomonas aeruginosa	bacteria	LC921246.1	1007	998	998	53.4068	16S rRNA	barrnap-coordinate-extraction
MPDB000104	287	Pseudomonas aeruginosa	bacteria	OX503253.1	949	923	923	52.0087	16S rRNA	barrnap-coordinate-extraction
MPDB000105	287	Pseudomonas aeruginosa	bacteria	OX503254.1	951	933	933	54.1935	16S rRNA	barrnap-coordinate-extraction
MPDB000106	287	Pseudomonas aeruginosa	bacteria	OX503255.1	964	942	942	54.1578	16S rRNA	barrnap-coordinate-extraction
MPDB000107	287	Pseudomonas aeruginosa	bacteria	OX503256.1	780	764	764	52.8796	16S rRNA	barrnap-coordinate-extraction
MPDB000108	287	Pseudomonas aeruginosa	bacteria	OX503257.1	958	919	919	54.0393	16S rRNA	barrnap-coordinate-extraction
MPDB000109	287	Pseudomonas aeruginosa	bacteria	OX503258.1	703	683	683	53.0015	16S rRNA	barrnap-coordinate-extraction
MPDB000110	287	Pseudomonas aeruginosa	bacteria	OX503259.1	974	943	943	53.3049	16S rRNA	barrnap-coordinate-extraction
MPDB000111	287	Pseudomonas aeruginosa	bacteria	OX503260.1	974	887	887	53.0543	16S rRNA	barrnap-coordinate-extraction
MPDB000112	287	Pseudomonas aeruginosa	bacteria	OX503261.1	939	915	915	53.8293	16S rRNA	barrnap-coordinate-extraction
MPDB000113	287	Pseudomonas aeruginosa	bacteria	OX503262.1	849	825	825	52.2533	16S rRNA	barrnap-coordinate-extraction
MPDB000114	287	Pseudomonas aeruginosa	bacteria	OX503263.1	976	948	948	52.6652	16S rRNA	barrnap-coordinate-extraction
MPDB000115	287	Pseudomonas aeruginosa	bacteria	OX503264.1	962	940	940	52.7897	16S rRNA	barrnap-coordinate-extraction
MPDB000116	287	Pseudomonas aeruginosa	bacteria	OX503265.1	671	656	656	53.5168	16S rRNA	barrnap-coordinate-extraction
MPDB000117	287	Pseudomonas aeruginosa	bacteria	OX503266.1	957	930	930	52.8139	16S rRNA	barrnap-coordinate-extraction
MPDB000118	287	Pseudomonas aeruginosa	bacteria	OX503267.1	952	934	934	53.3835	16S rRNA	barrnap-coordinate-extraction
MPDB000119	287	Pseudomonas aeruginosa	bacteria	OX503268.1	949	921	921	53.4858	16S rRNA	barrnap-coordinate-extraction
MPDB000120	287	Pseudomonas aeruginosa	bacteria	OX503269.1	935	920	920	53.0501	16S rRNA	barrnap-coordinate-extraction
MPDB000121	287	Pseudomonas aeruginosa	bacteria	OX503270.1	363	363	363	54.4444	16S rRNA partial	marker-only-record-retained
MPDB000122	287	Pseudomonas aeruginosa	bacteria	OX503271.1	881	832	832	52.2370	16S rRNA	barrnap-coordinate-extraction
MPDB000123	287	Pseudomonas aeruginosa	bacteria	OX503272.1	930	915	915	52.7869	16S rRNA	barrnap-coordinate-extraction
MPDB000124	287	Pseudomonas aeruginosa	bacteria	OX503273.1	933	900	900	51.7241	16S rRNA	barrnap-coordinate-extraction
MPDB000125	287	Pseudomonas aeruginosa	bacteria	PP809806.1	910	881	881	53.3485	16S rRNA	barrnap-coordinate-extraction
MPDB000126	287	Pseudomonas aeruginosa	bacteria	PP809858.1	1050	997	997	54.3631	16S rRNA	barrnap-coordinate-extraction
MPDB000127	287	Pseudomonas aeruginosa	bacteria	PP809878.1	1120	1037	1037	54.5805	16S rRNA	barrnap-coordinate-extraction
MPDB000128	287	Pseudomonas aeruginosa	bacteria	PZ413526.1	1258	1206	1206	53.6280	16S rRNA	barrnap-coordinate-extraction
MPDB000129	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	U09763.1	1478	1476	1476	55.9322	16S rRNA	barrnap-coordinate-extraction
MPDB000130	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728274.1	451	444	444	57.2072	16S rRNA	barrnap-coordinate-extraction
MPDB000131	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728275.1	448	443	443	57.1106	16S rRNA	barrnap-coordinate-extraction
MPDB000132	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728278.1	454	445	445	57.3034	16S rRNA	barrnap-coordinate-extraction
MPDB000133	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728287.1	451	442	442	57.2398	16S rRNA	barrnap-coordinate-extraction
MPDB000134	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728302.1	438	432	432	57.6389	16S rRNA	barrnap-coordinate-extraction
MPDB000135	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728312.1	450	444	444	57.2072	16S rRNA	barrnap-coordinate-extraction
MPDB000136	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728313.1	273	273	273	56.0440	16S rRNA partial	marker-only-record-retained
MPDB000137	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	FR728317.1	452	443	443	57.1106	16S rRNA	barrnap-coordinate-extraction
MPDB000138	31963	Clavibacter michiganensis subsp. nebraskensis	bacteria	U09763.1	1478	1476	1476	55.9322	16S rRNA	barrnap-coordinate-extraction
MPDB000139	321	Pseudomonas syringae pv. syringae	bacteria	AM399036.1	1479	1478	1478	54.1695	16S rRNA	barrnap-coordinate-extraction
MPDB000140	321	Pseudomonas syringae pv. syringae	bacteria	LN849855.1	917	913	913	52.7930	16S rRNA	barrnap-coordinate-extraction
MPDB000141	321	Pseudomonas syringae pv. syringae	bacteria	LN876273.1	584	568	568	53.1690	16S rRNA	barrnap-coordinate-extraction
MPDB000142	321	Pseudomonas syringae pv. syringae	bacteria	LN876274.1	584	568	568	53.8732	16S rRNA	barrnap-coordinate-extraction
MPDB000143	321	Pseudomonas syringae pv. syringae	bacteria	LN876276.1	584	568	568	53.3451	16S rRNA	barrnap-coordinate-extraction
MPDB000144	321	Pseudomonas syringae pv. syringae	bacteria	LN876277.1	584	568	568	53.3451	16S rRNA	barrnap-coordinate-extraction
MPDB000145	321	Pseudomonas syringae pv. syringae	bacteria	LN876278.1	584	568	568	53.5211	16S rRNA	barrnap-coordinate-extraction
MPDB000146	321	Pseudomonas syringae pv. syringae	bacteria	LN876279.1	584	568	568	53.6972	16S rRNA	barrnap-coordinate-extraction
MPDB000147	321	Pseudomonas syringae pv. syringae	bacteria	LS991860.1	1383	1362	1362	53.8913	16S rRNA	barrnap-coordinate-extraction
MPDB000148	321	Pseudomonas syringae pv. syringae	bacteria	LT630486.1	960	759	759	53.4914	16S rRNA	barrnap-coordinate-extraction
MPDB000149	40324	Stenotrophomonas maltophilia	bacteria	LC583236.1	837	819	819	54.9451	16S rRNA	barrnap-coordinate-extraction
MPDB000150	40324	Stenotrophomonas maltophilia	bacteria	LC595315.1	1467	1464	1464	55.2973	16S rRNA	barrnap-coordinate-extraction
MPDB000151	40324	Stenotrophomonas maltophilia	bacteria	LC595316.1	1467	1464	1464	55.3279	16S rRNA	barrnap-coordinate-extraction
MPDB000152	40324	Stenotrophomonas maltophilia	bacteria	LC616394.1	1105	1095	1095	54.3379	16S rRNA	barrnap-coordinate-extraction
MPDB000153	40324	Stenotrophomonas maltophilia	bacteria	LC699795.1	1385	1380	1380	54.9275	16S rRNA	barrnap-coordinate-extraction
MPDB000154	40324	Stenotrophomonas maltophilia	bacteria	LC716956.1	709	707	707	55.4455	16S rRNA	barrnap-coordinate-extraction
MPDB000155	40324	Stenotrophomonas maltophilia	bacteria	LC716963.1	709	708	708	57.3446	16S rRNA	barrnap-coordinate-extraction
MPDB000156	40324	Stenotrophomonas maltophilia	bacteria	LC716966.1	421	418	418	54.3062	16S rRNA	barrnap-coordinate-extraction
MPDB000157	40324	Stenotrophomonas maltophilia	bacteria	LC717005.1	709	708	708	55.5085	16S rRNA	barrnap-coordinate-extraction
MPDB000158	40324	Stenotrophomonas maltophilia	bacteria	LC717006.1	699	697	697	55.0933	16S rRNA	barrnap-coordinate-extraction
MPDB000159	40324	Stenotrophomonas maltophilia	bacteria	LC717014.1	700	696	696	55.1724	16S rRNA	barrnap-coordinate-extraction
MPDB000160	40324	Stenotrophomonas maltophilia	bacteria	LC717015.1	709	708	708	55.3672	16S rRNA	barrnap-coordinate-extraction
MPDB000161	40324	Stenotrophomonas maltophilia	bacteria	LC717019.1	699	698	698	55.1576	16S rRNA	barrnap-coordinate-extraction
MPDB000162	40324	Stenotrophomonas maltophilia	bacteria	LC717023.1	699	696	696	55.0287	16S rRNA	barrnap-coordinate-extraction
MPDB000163	40324	Stenotrophomonas maltophilia	bacteria	LC717024.1	689	688	688	55.0872	16S rRNA	barrnap-coordinate-extraction
MPDB000164	40324	Stenotrophomonas maltophilia	bacteria	LC717095.1	709	707	707	55.4455	16S rRNA	barrnap-coordinate-extraction
MPDB000165	40324	Stenotrophomonas maltophilia	bacteria	LC717100.1	709	708	708	55.3672	16S rRNA	barrnap-coordinate-extraction
MPDB000166	40324	Stenotrophomonas maltophilia	bacteria	LC717102.1	689	688	688	55.3779	16S rRNA	barrnap-coordinate-extraction
MPDB000167	40324	Stenotrophomonas maltophilia	bacteria	LC717103.1	699	697	697	55.0933	16S rRNA	barrnap-coordinate-extraction
MPDB000168	40324	Stenotrophomonas maltophilia	bacteria	LC717144.1	216	216	216	55.5556	16S rRNA partial	marker-only-record-retained
MPDB000169	40324	Stenotrophomonas maltophilia	bacteria	LC717149.1	558	528	528	53.7879	16S rRNA	barrnap-coordinate-extraction
MPDB000170	40324	Stenotrophomonas maltophilia	bacteria	LC735262.1	1410	1406	1406	54.8364	16S rRNA	barrnap-coordinate-extraction
MPDB000171	40324	Stenotrophomonas maltophilia	bacteria	LC737962.1	1285	1283	1283	54.3258	16S rRNA	barrnap-coordinate-extraction
MPDB000172	40324	Stenotrophomonas maltophilia	bacteria	LC764400.1	973	973	973	54.3679	16S rRNA	barrnap-coordinate-extraction
MPDB000173	40324	Stenotrophomonas maltophilia	bacteria	LC773897.1	853	852	852	54.2254	16S rRNA	barrnap-coordinate-extraction
MPDB000174	40324	Stenotrophomonas maltophilia	bacteria	LC773931.1	823	822	822	53.6496	16S rRNA	barrnap-coordinate-extraction
MPDB000175	40324	Stenotrophomonas maltophilia	bacteria	LC775012.1	822	816	816	54.5343	16S rRNA	barrnap-coordinate-extraction
MPDB000176	40324	Stenotrophomonas maltophilia	bacteria	LC779707.1	1485	1485	1485	55.0168	16S rRNA	barrnap-coordinate-extraction
MPDB000177	40324	Stenotrophomonas maltophilia	bacteria	LC779708.1	1482	1480	1480	55.0000	16S rRNA	barrnap-coordinate-extraction
MPDB000178	40324	Stenotrophomonas maltophilia	bacteria	LC790010.1	1025	1025	1025	54.5366	16S rRNA	barrnap-coordinate-extraction
MPDB000179	40324	Stenotrophomonas maltophilia	bacteria	LC836061.1	560	552	552	55.7971	16S rRNA	barrnap-coordinate-extraction
MPDB000180	40324	Stenotrophomonas maltophilia	bacteria	LC836062.1	650	637	637	55.1020	16S rRNA	barrnap-coordinate-extraction
MPDB000181	40324	Stenotrophomonas maltophilia	bacteria	LC875547.1	898	897	897	54.9610	16S rRNA	barrnap-coordinate-extraction
MPDB000182	40324	Stenotrophomonas maltophilia	bacteria	LC875551.1	1482	1480	1480	55.2027	16S rRNA	barrnap-coordinate-extraction
MPDB000183	40324	Stenotrophomonas maltophilia	bacteria	LC875552.1	1494	1494	1494	55.1539	16S rRNA	barrnap-coordinate-extraction
MPDB000184	40324	Stenotrophomonas maltophilia	bacteria	LC875554.1	1494	1494	1494	55.2209	16S rRNA	barrnap-coordinate-extraction
MPDB000185	40324	Stenotrophomonas maltophilia	bacteria	LC875555.1	1488	1488	1488	55.2419	16S rRNA	barrnap-coordinate-extraction
MPDB000186	40324	Stenotrophomonas maltophilia	bacteria	LC875559.1	1494	1494	1494	55.1539	16S rRNA	barrnap-coordinate-extraction
MPDB000187	40324	Stenotrophomonas maltophilia	bacteria	LC925143.1	1404	1398	1398	54.8641	16S rRNA	barrnap-coordinate-extraction
MPDB000188	40324	Stenotrophomonas maltophilia	bacteria	LR862426.1	499	497	497	54.2977	16S rRNA	barrnap-coordinate-extraction
MPDB000189	40324	Stenotrophomonas maltophilia	bacteria	LR862431.1	315	315	315	52.8053	16S rRNA partial	marker-only-record-retained
MPDB000190	40324	Stenotrophomonas maltophilia	bacteria	OZ371428.1	1413	1410	1410	54.6809	16S rRNA	barrnap-coordinate-extraction
MPDB000191	40324	Stenotrophomonas maltophilia	bacteria	OZ371454.1	1406	1404	1404	54.7009	16S rRNA	barrnap-coordinate-extraction
MPDB000192	53407	Pseudomonas asplenii	bacteria	AB021381.1	1503	1501	1501	54.2000	16S rRNA	barrnap-coordinate-extraction
MPDB000193	53407	Pseudomonas asplenii	bacteria	AB021397.1	1503	1501	1501	54.1027	16S rRNA	barrnap-coordinate-extraction
MPDB000194	53407	Pseudomonas asplenii	bacteria	AJ288296.1	175	175	175	56.0000	16S rRNA partial	marker-only-record-retained
MPDB000195	53407	Pseudomonas asplenii	bacteria	HE586387.1	1498	1496	1496	54.2112	16S rRNA	barrnap-coordinate-extraction
MPDB000196	53407	Pseudomonas asplenii	bacteria	HF936978.1	780	777	777	53.1532	16S rRNA	barrnap-coordinate-extraction
MPDB000197	53407	Pseudomonas asplenii	bacteria	Z76655.1	1491	1489	1489	54.0013	16S rRNA	barrnap-coordinate-extraction
MPDB000198	549	Pantoea agglomerans	bacteria	HE588003.1	889	598	598	54.5151	16S rRNA	barrnap-coordinate-extraction
MPDB000199	549	Pantoea agglomerans	bacteria	HE613764.1	846	846	846	56.3830	16S rRNA	barrnap-coordinate-extraction
MPDB000200	549	Pantoea agglomerans	bacteria	HE613771.1	877	877	877	55.9863	16S rRNA	barrnap-coordinate-extraction
MPDB000201	549	Pantoea agglomerans	bacteria	HE613777.1	959	952	952	55.7773	16S rRNA	barrnap-coordinate-extraction
MPDB000202	549	Pantoea agglomerans	bacteria	HE613778.1	920	919	919	56.1002	16S rRNA	barrnap-coordinate-extraction
MPDB000203	549	Pantoea agglomerans	bacteria	HE647624.1	953	950	950	55.8947	16S rRNA	barrnap-coordinate-extraction
MPDB000204	549	Pantoea agglomerans	bacteria	HE648132.1	887	886	886	55.5305	16S rRNA	barrnap-coordinate-extraction
MPDB000205	549	Pantoea agglomerans	bacteria	HE648133.1	239	239	239	54.3933	16S rRNA partial	marker-only-record-retained
