species	taxid	category	citation_id	raw_chunk	extracted_doi	crossref_doi	crossref_title	crossref_container	crossref_year	crossref_score	crossref_error	pubmed_pmid	pubmed_title	pubmed_year	pubmed_score	pubmed_error	resolution_status	verification_required	review_decision	reviewer	review_date	review_notes
Curvularia intermedia / Cochliobolus intermedius	95735	fungi	95735.1	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.		10.1094/pdis-10-18-1857-re	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China	Plant Disease	2019			31107642	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China.	2019			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Curvularia lunata (Cochliobolus lunatus)	5503	fungi	5503.1	Gao S, Li Y, Gao J, et al. Genome sequence and virulence variation-related transcriptome profiles of Curvularia lunata, an important maize pathogenic fungus[J]. BMC genomics, 2014, 15(1): 627.		10.1186/1471-2164-15-627	Genome sequence and virulence variation-related transcriptome profiles of Curvularia lunata, an important maize pathogenic fungus	BMC Genomics	2014			25056288	Genome sequence and virulence variation-related transcriptome profiles of Curvularia lunata, an important maize pathogenic fungus.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Curvularia pallescens	318706	fungi	318706.1	Manzar N, Kashyap A S, Sharma P K, et al. First report of leaf spot on maize caused by Curvularia verruculosa in India[J]. Plant Disease, 2024, 108(3): 793.		10.1094/pdis-07-23-1410-pdn	First Report of Leaf Spot on Maize Caused by Curvularia verruculosa in India	Plant Disease	2024								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Curvularia senegalensis / Brachysporium senegalense	215132	fungi	215132.1	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.		10.1094/pdis-10-18-1857-re	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China	Plant Disease	2019			31107642	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China.	2019			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Curvularia tuberculata / Cochliobolus tuberculatus	1056642	fungi	1056642.1	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.		10.1094/pdis-10-18-1857-re	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China	Plant Disease	2019			31107642	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China.	2019			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Didymella exitialis / Neoascochyta exitialis	487631	fungi	487631.1	王晓鸣等.		10.37155/2705-0653-0705-5	数字时代背景下邢台高等院校思想育人创新研究	教育理论与应用	2025								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-22	title_mismatch overlap=0.00; openalex_no_doi title_found_no_doi
Didymella exitialis / Neoascochyta exitialis	487631	fungi	487631.2	玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.		10.11922/sciencedb.538	Land-Use Data Set Based on “Gaofen-1 Satellite” Data	Science Data Bank Datasets					Supervised consumption service use and high-frequency public injecting among people who inject drugs in Toronto: A cross-sectional analysis (2018-2020).	2026	0.043		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-24	title_mismatch overlap=0.00; openalex_no_doi
Didymella maydis (Phyllosticta maydis)	259522	fungi	259522.1	Arny D C, Nelson R R. Phyllosticta maydis species nova, the incitant of yellow leaf blight of maize[J]. Phytopathology, 1971, 61(10): 1170-72.		10.1094/phyto-61-1170	Phyllosticta maydis species nova, the Incitant of Yellow Leaf Blight of Maize	Phytopathology	1971								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Epicoccum nigrum	105696	fungi	105696.1	Xu X, Li J, Yang X, et al. Epicoccum spp. causing maize leaf spot in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(12): 3050-3060.		10.1094/pdis-09-21-1948-re	Epicoccum spp. Causing Maize Leaf Spot in Heilongjiang Province, China	Plant Disease	2022			35612576	Epicoccum spp. Causing Maize Leaf Spot in Heilongjiang Province, China.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Epicoccum sorghinum/Phoma sorghina	749593	fungi	749593.1	Do Amaral A L, Dal Soglio F K, De Carli M L, et al. Pathogenic fungi causing symptoms similar to Phaeosphaeria leaf spot of maize in Brazil[J]. Plant disease, 2005, 89(1): 44-49.		10.1094/pd-89-0044	Pathogenic Fungi Causing Symptoms Similar to Phaeosphaeria Leaf Spot of Maize in Brazil	Plant Disease	2005			30795283	Pathogenic Fungi Causing Symptoms Similar to Phaeosphaeria Leaf Spot of Maize in Brazil.	2005			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Eutiarosporella dactylidis	1608309	fungi	1608309.1	Guo C, Zhang X, Wang B, et al. Identification, pathogenicity, and fungicide sensitivity of Eutiarosporella dactylidis associated with leaf blight on maize in China[J]. Journal of Integrative Agriculture, 2024, 23(3): 888-900.		10.1016/j.jia.2023.09.032	Identification, pathogenicity, and fungicide sensitivity of Eutiarosporella dactylidis associated with leaf blight on maize in China	Journal of Integrative Agriculture	2024								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Exserohilum rostratum (Setosphaeria rostrata)	1659837	fungi	1659837.1	Xie S N, Li B Y, Ru Y Y, et al. First report of Exserohilum rostratum causing leaf spot on maize (Zea mays) in Henan, China[J]. Plant disease, 2022, 106(6): 1748.		10.1094/pdis-04-21-0860-pdn	First Report of Exserohilum rostratum Causing Leaf Spot on Maize (Zea mays) in Henan, China	Plant Disease	2022								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Exserohilum rostratum (Setosphaeria rostrata)	1659837	fungi	1659837.2	Leonard K J, Suggs E G. Setosphaeria prolata, the ascigerous state of Exserohilum prolatum[J]. Mycologia, 1974, 66(2): 281-297.		10.2307/3758363	Setosphaeria prolata, the Ascigerous State of Exserohilum prolatum	Mycologia	1974								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Exserohilum turcicum (Setosphaeria turcica)	93612	fungi	93612.1	Kotze R G, Van der Merwe C F, Crampton B G, et al. A histological assessment of the infection strategy of Exserohilum turcicum in maize[J]. Plant Pathology, 2019, 68(3): 504-512.		10.1111/ppa.12961	A histological assessment of the infection strategy of Exserohilum turcicum in maize	Plant Pathology	2018								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium acuminatum	5515	fungi	5515.1	Okello P N, Mathew F M. Cross pathogenicity studies show South Dakota isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from either soybean or corn are pathogenic to both crops[J]. Plant Health Progress, 2019, 20(1): 44-49.		10.1094/php-10-18-0056-rs	Cross Pathogenicity Studies Show South Dakota Isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from Either Soybean or Corn are Pathogenic to Both Crops	Plant Health Progress	2019								AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium andiyazi	520446	fungi	520446.1	Zhang H, Luo W, Pan Y, et al. First report of Fusarium ear rot of maize caused by Fusarium andiyazi in China[J]. Plant disease, 2014, 98(10): 1428-1428.		10.1094/pdis-01-14-0038-pdn	First Report of Fusarium Ear Rot of Maize Caused by Fusarium andiyazi in China	Plant Disease	2014			30703964	First Report of Fusarium Ear Rot of Maize Caused by Fusarium andiyazi in China.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium asiaticum	282267	fungi	282267.1	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.		10.3389/fmicb.2021.652062	Species Diversity and Chemotypes of Fusarium Species Associated With Maize Stalk Rot in Yunnan Province of Southwest China	Frontiers in Microbiology	2021			34759893	Species Diversity and Chemotypes of Fusarium Species Associated With Maize Stalk Rot in Yunnan Province of Southwest China.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Fusarium avenaceum	40199	fungi	40199.1	Ma N, Abdul Haseeb H, Xing F, et al. Fusarium avenaceum: A toxigenic pathogen causing ear rot on maize in yunnan province, China[J]. Plant Dis, 2019, 103(6): 1424.		10.1094/pdis-11-18-2034-pdn	Fusarium avenaceum: A Toxigenic Pathogen Causing Ear Rot on Maize in Yunnan Province, China	Plant Disease	2019								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Fusarium boothii	282271	fungi	282271.1	Deressa T, Adugna G, Suresh L M, et al. Fusarium boothii, Fusarium meridionale, and Fusarium temperatum are emerging preharvest maize ear rot pathogens in Ethiopia[J]. Plant Disease, 2025, 109(2): 297-307.		10.1094/pdis-12-23-2765-sr	Fusarium boothii , Fusarium meridionale , and Fusarium temperatum Are Emerging Preharvest Maize Ear Rot Pathogens in Ethiopia	Plant Disease	2025			39623288	Fusarium boothii, Fusarium meridionale, and Fusarium temperatum Are Emerging Preharvest Maize Ear Rot Pathogens in Ethiopia.	2025			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium camptoceras	57143	fungi	57143.1	Abo-Elyousr K A M, El-Fawy M M, El-Nagar A S, et al. Biochar-based sustainable control of stalk and ear rot in maize caused by Fusarium camptoceras[J]. Journal of Plant Diseases and Protection, 2026, 133(4): 104.		10.1007/s41348-026-01297-0	Biochar-based sustainable control of stalk and ear rot in maize caused by Fusarium camptoceras	Journal of Plant Diseases and Protection	2026								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Fusarium cerealis / Fusarium crookwellense	56641	fungi	56641.1	Pfordt A, Schiwek S, Rathgeb A, et al. Occurrence, pathogenicity, and mycotoxin production of Fusarium temperatum in relation to other Fusarium species on maize in Germany[J]. Pathogens, 2020, 9(11): 864.		10.3390/pathogens9110864	Occurrence, Pathogenicity, and Mycotoxin Production of Fusarium temperatum in Relation to Other Fusarium Species on Maize in Germany	Pathogens	2020			33105838	Occurrence, Pathogenicity, and Mycotoxin Production of Fusarium temperatum in Relation to Other Fusarium Species on Maize in Germany.	2020			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Fusarium chlamydosporum	86545	fungi	86545.1	Shabana Y M, Ghoneem K M, Rashad Y M, et al. Distribution and biodiversity of seed-borne pathogenic and toxigenic fungi of maize in Egypt and their correlations with weather variables. Plants 11 (18): 2347[EB/OL].(2022) Morales-Rodríguez I, de Yañz-Morales M J, Silva-Rojas H V, et al. Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach[J]. Mycopathologia, 2007, 163(1): 31-39.		10.1007/s11046-006-0082-1	Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach	Mycopathologia	2007			17216329	Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach.	2007			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Fusarium concentricum	48491	fungi	48491.1	Du Q, Duan C X, Li S C, et al. First report of maize ear rot caused by Fusarium concentricum in China[J]. Plant Disease, 2020, 104(5): 1539.		10.1094/pdis-07-19-1515-pdn	First Report of Maize Ear Rot Caused by Fusarium concentricum in China	Plant Disease	2020								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Fusarium culmorum	5516	fungi	5516.1	Xia L K, Cao Y Y, Wang J, et al. First report of Fusarium culmorum causing maize stalk rot in China[J]. Plant Disease, 2022, 106(5): 1521.		10.1094/pdis-07-21-1442-pdn	First Report of Fusarium culmorum Causing Maize Stalk Rot in China	Plant Disease	2022			34705486	First Report of Fusarium culmorum Causing Maize Stalk Rot in China.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Fusarium equiseti	61235	fungi	61235.1	Swamy S D, Mahadevakumar S, Hemareddy H B, et al. First report of Fusarium equiseti–the incitant of post flowering stalkrot of maize (Zea mays L.) in India[J]. Crop Protection, 2020, 129: 105035.		10.1016/j.cropro.2019.105035	First report of Fusarium equiseti–the incitant of post flowering stalkrot of maize (Zea mays L.) in India	Crop Protection	2020								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Fusarium globosum	78864	fungi	78864.1	Moses L M, Marasas W F O, Vismer H F, et al. Molecular characterization of Fusarium globosum strains from South African maize and Japanese wheat[J]. Mycopathologia, 2010, 170(4): 237-249.		10.1007/s11046-010-9318-1	Molecular Characterization of Fusarium globosum Strains from South African Maize and Japanese Wheat	Mycopathologia	2010			20495873	Molecular characterization of Fusarium globosum strains from South African maize and Japanese wheat.	2010			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium graminearum (Gibberella zeae)	5518	fungi	5518.1	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565		10.1094/pdis.1997.81.6.556	Fumonisins in Maize: Can We Reduce Their Occurrence?	Plant Disease	1997			30861834	Fumonisins in Maize: Can We Reduce Their Occurrence?	1997			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Fusarium incarnatum (F. semitectum)	298378	fungi	298378.1	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.		10.3389/fmicb.2021.652062	Species Diversity and Chemotypes of Fusarium Species Associated With Maize Stalk Rot in Yunnan Province of Southwest China	Frontiers in Microbiology	2021			34759893	Species Diversity and Chemotypes of Fusarium Species Associated With Maize Stalk Rot in Yunnan Province of Southwest China.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Fusarium kyushuense	56665	fungi	56665.1	Wang J H, Li H P, Zhang J B, et al. First report of Fusarium maize ear rot caused by Fusarium kyushuense in China[J]. Plant disease, 2014, 98(2): 279-279.		10.1094/pdis-05-13-0558-pdn	First Report of Fusarium Maize Ear Rot Caused by Fusarium kyushuense in China	Plant Disease	2014			30708751	First Report of Fusarium Maize Ear Rot Caused by Fusarium kyushuense in China.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Fusarium meridionale	282269	fungi	282269.1	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.		10.3389/fmicb.2021.652062	Species Diversity and Chemotypes of Fusarium Species Associated With Maize Stalk Rot in Yunnan Province of Southwest China	Frontiers in Microbiology	2021			34759893	Species Diversity and Chemotypes of Fusarium Species Associated With Maize Stalk Rot in Yunnan Province of Southwest China.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Fusarium napiforme	42672	fungi	42672.1	Morales-Rodríguez I, de Yañz-Morales M J, Silva-Rojas H V, et al. Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach[J]. Mycopathologia, 2007, 163(1): 31-39.		10.1007/s11046-006-0082-1	Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach	Mycopathologia	2007			17216329	Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach.	2007			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium oxysporum	5507	fungi	5507.1	Okello P N, Petrović K, Kontz B, et al. Eight species of Fusarium cause root rot of corn (Zea mays) in South Dakota[J]. Plant Health Progress, 2019, 20(1): 38-43.		10.1094/php-11-18-0075-rs	Eight Species of Fusarium Cause Root Rot of Corn (Zea mays) in South Dakota	Plant Health Progress	2019								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Fusarium poae	36050	fungi	36050.1	Chelkowski J, Lew H, Pettersson H. Fusarium poae (Peck) Wollenw.—Occurrence in maize ears, nivalenol production and mycotoxin accumulation in cobs[J]. Mycotoxin Research, 1994, 10(2): 116-120.		10.1007/bf03192261	Fusarium Poae (Peck) Wollenw. — Occurrence in maize ears, nivalenol production and mycotoxin accumulation in cobs	Mycotoxin Research	1994			23605973	Fusarium Poae (Peck) Wollenw. - Occurrence in maize ears, nivalenol production and mycotoxin accumulation in cobs.	1994	0.333		AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Fusarium proliferatum	948311	fungi	948311.1	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565		10.1094/pdis.1997.81.6.556	Fumonisins in Maize: Can We Reduce Their Occurrence?	Plant Disease	1997			30861834	Fumonisins in Maize: Can We Reduce Their Occurrence?	1997			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Fusarium pseudograminearum	101028	fungi	101028.1	Jiang H, Ma L G, Qi K, et al. First report of maize seedling blight caused by Fusarium pseudograminearum in China[J]. Plant disease, 2022, 106(9): 2519.		10.1094/pdis-01-22-0099-pdn	First Report of Maize Seedling Blight Caused by Fusarium pseudograminearum in China	Plant Disease	2022								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium pseudonygamai	47755	fungi	47755.1	Chehri K, Zafari D, Nurhazrati M, et al. Natural occurrence of Fusarium species associated with root and stalk rot of maize in Kermanshah Province, Iran[J]. 2010.		10.3923/jbs.2010.795.799	Natural Occurrence of Fusarium Species Associated with Root and Stalk Rot of Maize in Kermanshah Province, Iran	Journal of Biological Sciences	2010								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Fusarium sacchari	42676	fungi	42676.1	Carrer Filho R, Guimarães M, Abreu V P, et al. Fusarium sacchari associated with stem rot in sweet corn in Brazil[J]. Pesquisa Agropecuária Tropical, 2023, 53: e74263.		10.1590/1983-40632023v5374263	Fusarium sacchari associated with stem rot in sweet corn in Brazil	Pesquisa Agropecuária Tropical	2023								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Fusarium solani (Neocosmospora solani)	169388	fungi	169388.1	Okello P N, Mathew F M. Cross pathogenicity studies show South Dakota isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from either soybean or corn are pathogenic to both crops[J]. Plant Health Progress, 2019, 20(1): 44-49.		10.1094/php-10-18-0056-rs	Cross Pathogenicity Studies Show South Dakota Isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from Either Soybean or Corn are Pathogenic to Both Crops	Plant Health Progress	2019								AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Fusarium sporotrichioides	5514	fungi	5514.1	Wang B B, Guo C, Sun S L, et al. First report of maize ear rot caused by Fusarium sporotrichioides in China[J]. Plant Disease, 2020, 104(2): 567.		10.1094/pdis-08-19-1669-pdn	First Report of Maize Ear Rot Caused by Fusarium sporotrichioides in China	Plant Disease	2020								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Fusarium subglutinans	42677	fungi	42677.1	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565		10.1094/pdis.1997.81.6.556	Fumonisins in Maize: Can We Reduce Their Occurrence?	Plant Disease	1997			30861834	Fumonisins in Maize: Can We Reduce Their Occurrence?	1997			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Fusarium temperatum	1035347	fungi	1035347.1	Fumero M V, Reynoso M M, Chulze S. Fusarium temperatum and Fusarium subglutinans isolated from maize in Argentina[J]. International Journal of Food Microbiology, 2015, 199: 86-92.		10.1016/j.ijfoodmicro.2015.01.011	Fusarium temperatum and Fusarium subglutinans isolated from maize in Argentina	International Journal of Food Microbiology	2015			25647244	Fusarium temperatum and Fusarium subglutinans isolated from maize in Argentina.	2015			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Fusarium tricinctum	61284	fungi	61284.1	Yang X, Xu X, Wang S, et al. Identification, pathogenicity, and genetic diversity of Fusarium spp. associated with maize sheath rot in Heilongjiang Province, China[J]. International journal of molecular sciences, 2022, 23(18): 10821.		10.3390/ijms231810821	Identification, Pathogenicity, and Genetic Diversity of Fusarium spp. Associated with Maize Sheath Rot in Heilongjiang Province, China	International Journal of Molecular Sciences	2022			36142733	Identification, Pathogenicity, and Genetic Diversity of Fusarium spp. Associated with Maize Sheath Rot in Heilongjiang Province, China.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Fusarium verticillioides (Gibberella moniliformis)	117187	fungi	117187.1	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565		10.1094/pdis.1997.81.6.556	Fumonisins in Maize: Can We Reduce Their Occurrence?	Plant Disease	1997			30861834	Fumonisins in Maize: Can We Reduce Their Occurrence?	1997			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Gaeumannomyces graminis	29850	fungi	29850.1	Freeman J, Ward E. Gaeumannomyces graminis, the take‐all fungus and its relatives[J]. Molecular Plant Pathology, 2004, 5(4): 235-252.		10.1111/j.1364-3703.2004.00226.x	Gaeumannomyces graminis , the take‐all fungus and its relatives	Molecular Plant Pathology	2004			20565593	Gaeumannomyces graminis, the take-all fungus and its relatives.	2004			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Gibberella fujikuroi (Fusarium fujikuroi)	5127	fungi	5127.1	O'Donnell K, Cigelnik E, Nirenberg H I. Molecular systematics and phylogeography of the Gibberella fujikuroi species complex[J]. Mycologia, 1998, 90(3): 465-493.		10.2307/3761407	Molecular Systematics and Phylogeography of the Gibberella fujikuroi Species Complex	Mycologia	1998								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Gloeocercospora sorghi / Microdochium sorghi	1682391	fungi	1682391.1	Velazquez P D.		10.5040/9781350922075	Velazquez, the Painter of Painters	Velazquez, the Painter of Painters	1991								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.25; openalex_no_doi
Gloeocercospora sorghi / Microdochium sorghi	1682391	fungi	1682391.2	Microdochium sorghi on sorghum in northwestern Entre Ríos, Argentina[J]. 2024.		10.14409/fa.2024.23.e0030	Microdochium sorghi en sorgo en el noroeste de Entre Ríos, Argentina	FAVE Sección Ciencias Agrarias	2024								AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-23	title_mismatch overlap=0.52; openalex_no_doi; spanish_title_matches_raw
Gonatobotrys simplex	2713053	fungi	2713053.1	Vakili N G. Mycoparasitic fungi associated with potential stalk rot pathogens of corn[J]. Phytopathology, 1985, 75(11): 1201-1207.		10.1094/phyto-75-1201	Mycoparasitic Fungi Associated with Potential Stalk Rot Pathogens of Corn	Phytopathology	1985								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Graphium penicillioides	67620	fungi	67620.1	Smith D R, White D G. Diseases of corn[J]. Corn and corn improvement, 1988, 18: 687-766.		10.2134/agronmonogr18.3ed.c12	Diseases of Corn	Corn and Corn Improvement	1988								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	doi_corrected 10.1094/grow-cor-11-13-056 -> 10.2134/agronmonogr18.3ed.c12; manual_doi_correction; pmid_cleared_doi_changed
Harpophora maydis (Cephalosporium maydis/Magnaporthiopsis maydis)	80373	fungi	80373.1	Samra A S, Sabet K A, Hingorani M K. Late wilt disease of Maize caused by Cephalosporium maydis[J]. 1963.		10.21608/jppp.2011.86639	ASYMPTOMATIC INFECTION OF MAIZE LATE WILT CAUSED BY Cephalosporium maydis	Journal of Plant Protection and Pathology	2011								AUTO_CANDIDATE_HIGH	yes	Incorrect	Gui-Feng Gao	2026-08-24	title_mismatch overlap=0.57; openalex_no_doi
Helminthosporium hawaiiensis / Curvularia hawaiiensis	1230527	fungi	1230527.1	Suzui T, Kamphangridthrong T. The prevalence of maize and soybean diseases in Thailand[J]. 1979.		10.1007/978-981-97-8723-4_5	Theory of Soybean Canopy Architecture Regulation in Maize-Soybean Strip Intercropping	Theories and Application in Maize-Soybean Strip Intercropping System	2025								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-26	title_mismatch overlap=0.33; openalex_no_doi
Helminthosporium pedicellatum/Exserohilum pedicellatum	119929	fungi	119929.1	Egunjobi O L A, Norton D C, Martinson C. Interaction of pra tylenchus scribneri and helminthosporium pedicellatum in the etiology of corn root rot[J]. Phytoparasitica, 1986, 14(4): 287-295.		10.1007/bf02980733	Interaction ofpra tylenchus scribneri and helminthosporium pedicellatum in the etiology of corn root rot	Phytoparasitica	1986								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Helminthosporium pedicellatum/Exserohilum pedicellatum	119929	fungi	119929.2	Isakeit T, Gao X, Kolomiets M. Exserohilum pedicellatum root rot of corn in Texas[J]. Plant Disease, 2007, 91(5): 634-634.		10.1094/pdis-91-5-0634c	Exserohilum pedicellatum Root Rot of Corn in Texas	Plant Disease	2007			30780722	Exserohilum pedicellatum Root Rot of Corn in Texas.	2007			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	145392	fungi	145392.1	Li G F, Liu K X, Xiao S Q, et al. First report of leaf spot of maize (Zea mays) caused by Bipolaris spicifera in China[J]. Plant Disease, 2016, 100(4): 855-855.		10.1094/pdis-07-15-0750-pdn	First Report of Leaf Spot of maize (Zea mays) Caused by Bipolaris spicifera in China	Plant Disease	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
